EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0367657
omega, real, im
6.293263e-01, 1.383335e+00, -2.415808e-01
8.324402e-01, 1.360593e+00, -2.158996e-01
1.106767e+00, 1.347096e+00, -1.975608e-01
1.465296e+00, 1.326187e+00, -1.899904e-01
1.947914e+00, 1.300118e+00, -1.831012e-01
2.563042e+00, 1.275756e+00, -1.830411e-01
3.424066e+00, 1.246955e+00, -1.861850e-01
4.530037e+00, 1.219160e+00, -1.930003e-01
5.992113e+00, 1.186032e+00, -2.036931e-01
7.927565e+00, 1.151733e+00, -2.169181e-01
1.057009e+01, 1.108144e+00, -2.324735e-01
1.391364e+01, 1.061218e+00, -2.441873e-01
1.845393e+01, 1.004189e+00, -2.529862e-01
2.454369e+01, 9.467437e-01, -2.501888e-01
3.255131e+01, 8.862385e-01, -2.401799e-01
4.321071e+01, 8.387214e-01, -2.208095e-01
5.721156e+01, 7.962763e-01, -1.949123e-01
7.575201e+01, 7.631487e-01, -1.712642e-01
1.005888e+02, 7.382013e-01, -1.492855e-01
1.333896e+02, 7.184011e-01, -1.337171e-01
1.765735e+02, 7.017915e-01, -1.210658e-01
2.340678e+02, 6.846585e-01, -1.124907e-01
3.106798e+02, 6.684417e-01, -1.042189e-01
4.111698e+02, 6.542435e-01, -9.934925e-02
5.461295e+02, 6.370862e-01, -9.375761e-02
7.237254e+02, 6.221466e-01, -8.926536e-02
9.582557e+02, 6.076255e-01, -8.534016e-02
1.271695e+03, 5.932268e-01, -8.114634e-02
1.686208e+03, 5.789661e-01, -7.781813e-02
2.234103e+03, 5.662000e-01, -7.425813e-02
2.965431e+03, 5.530376e-01, -7.243998e-02
3.923223e+03, 5.394272e-01, -6.863175e-02
5.210048e+03, 5.276036e-01, -6.440982e-02
6.904879e+03, 5.157428e-01, -6.186894e-02
9.156696e+03, 5.076655e-01, -5.905253e-02
1.214596e+04, 4.969879e-01, -5.658612e-02
1.613231e+04, 4.850102e-01, -5.320426e-02
2.131095e+04, 4.784357e-01, -5.157504e-02
2.827860e+04, 4.692439e-01, -4.857717e-02
3.747491e+04, 4.607299e-01, -4.615857e-02
4.976918e+04, 4.522901e-01, -4.467268e-02
6.585677e+04, 4.454987e-01, -4.284933e-02
8.743691e+04, 4.378273e-01, -4.160314e-02
1.157480e+05, 4.307682e-01, -4.065787e-02
1.534472e+05, 4.230300e-01, -3.788223e-02
2.034181e+05, 4.170315e-01, -3.552204e-02
2.696861e+05, 4.092671e-01, -3.288853e-02
3.575525e+05, 4.036516e-01, -3.194825e-02
4.739878e+05, 3.963517e-01, -2.930144e-02
6.285148e+05, 3.897109e-01, -2.685076e-02
