EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0436528
omega, real, im
6.293263e-01, 1.477701e+00, -2.379936e-01
8.324402e-01, 1.457278e+00, -2.012202e-01
1.106767e+00, 1.438812e+00, -1.794803e-01
1.465296e+00, 1.419873e+00, -1.631652e-01
1.947914e+00, 1.403952e+00, -1.531130e-01
2.563042e+00, 1.387427e+00, -1.499469e-01
3.424066e+00, 1.371575e+00, -1.517316e-01
4.530037e+00, 1.353198e+00, -1.605195e-01
5.992113e+00, 1.332842e+00, -1.741701e-01
7.927565e+00, 1.306359e+00, -1.930721e-01
1.057009e+01, 1.271325e+00, -2.154881e-01
1.391364e+01, 1.227895e+00, -2.394187e-01
1.845393e+01, 1.174303e+00, -2.571599e-01
2.454369e+01, 1.109067e+00, -2.683181e-01
3.255131e+01, 1.047800e+00, -2.637958e-01
4.321071e+01, 9.849104e-01, -2.500016e-01
5.721156e+01, 9.452991e-01, -2.103049e-01
7.575201e+01, 8.968533e-01, -2.057237e-01
1.005888e+02, 8.654994e-01, -1.855456e-01
1.333896e+02, 8.393394e-01, -1.698921e-01
1.765735e+02, 8.146940e-01, -1.581529e-01
2.340678e+02, 7.929639e-01, -1.501010e-01
3.106798e+02, 7.685430e-01, -1.480875e-01
4.111698e+02, 7.438830e-01, -1.442510e-01
5.461295e+02, 7.184826e-01, -1.366481e-01
7.237254e+02, 6.934005e-01, -1.352160e-01
9.582557e+02, 6.693403e-01, -1.293576e-01
1.271695e+03, 6.445602e-01, -1.234635e-01
1.686208e+03, 6.242581e-01, -1.177316e-01
2.234103e+03, 6.047935e-01, -1.100098e-01
2.965431e+03, 5.824654e-01, -1.045966e-01
3.923223e+03, 5.662577e-01, -9.835020e-02
5.210048e+03, 5.492287e-01, -9.285694e-02
6.904879e+03, 5.335248e-01, -8.638442e-02
9.156696e+03, 5.193296e-01, -7.921050e-02
1.214596e+04, 5.049779e-01, -7.556059e-02
1.613231e+04, 4.913292e-01, -7.155929e-02
2.131095e+04, 4.814004e-01, -6.686502e-02
2.827860e+04, 4.712535e-01, -5.984021e-02
3.747491e+04, 4.608939e-01, -5.531546e-02
4.976918e+04, 4.483552e-01, -5.243043e-02
6.585677e+04, 4.420004e-01, -4.844970e-02
8.743691e+04, 4.350071e-01, -4.247679e-02
1.157480e+05, 4.273508e-01, -3.768433e-02
1.534472e+05, 4.199201e-01, -3.610730e-02
2.034181e+05, 4.163303e-01, -3.504699e-02
2.696861e+05, 4.084451e-01, -2.996349e-02
3.575525e+05, 4.039436e-01, -2.787218e-02
4.739878e+05, 4.001511e-01, -2.562563e-02
6.285148e+05, 3.951845e-01, -2.335959e-02
