EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0388182
omega, real, im
6.293263e-01, 1.654585e+00, -2.911599e-01
8.324402e-01, 1.629132e+00, -2.562108e-01
1.106767e+00, 1.604741e+00, -2.374973e-01
1.465296e+00, 1.579155e+00, -2.231061e-01
1.947914e+00, 1.555014e+00, -2.177664e-01
2.563042e+00, 1.527862e+00, -2.187745e-01
3.424066e+00, 1.500334e+00, -2.258280e-01
4.530037e+00, 1.468014e+00, -2.423125e-01
5.992113e+00, 1.430169e+00, -2.626027e-01
7.927565e+00, 1.382257e+00, -2.882933e-01
1.057009e+01, 1.321709e+00, -3.121122e-01
1.391364e+01, 1.251751e+00, -3.332072e-01
1.845393e+01, 1.171650e+00, -3.379762e-01
2.454369e+01, 1.085817e+00, -3.324929e-01
3.255131e+01, 1.017146e+00, -3.010860e-01
4.321071e+01, 9.525277e-01, -2.728252e-01
5.721156e+01, 9.004185e-01, -2.217625e-01
7.575201e+01, 8.761382e-01, -2.118122e-01
1.005888e+02, 8.482789e-01, -1.880459e-01
1.333896e+02, 8.230004e-01, -1.722533e-01
1.765735e+02, 8.006798e-01, -1.609133e-01
2.340678e+02, 7.769989e-01, -1.531314e-01
3.106798e+02, 7.513745e-01, -1.471813e-01
4.111698e+02, 7.278938e-01, -1.416055e-01
5.461295e+02, 7.027456e-01, -1.382367e-01
7.237254e+02, 6.789238e-01, -1.309759e-01
9.582557e+02, 6.561747e-01, -1.254559e-01
1.271695e+03, 6.334263e-01, -1.207072e-01
1.686208e+03, 6.127638e-01, -1.146189e-01
2.234103e+03, 5.927489e-01, -1.079146e-01
2.965431e+03, 5.737376e-01, -1.017741e-01
3.923223e+03, 5.566688e-01, -9.721463e-02
5.210048e+03, 5.403121e-01, -9.140682e-02
6.904879e+03, 5.257254e-01, -8.548182e-02
9.156696e+03, 5.108472e-01, -8.030925e-02
1.214596e+04, 4.974101e-01, -7.467441e-02
1.613231e+04, 4.837194e-01, -7.139324e-02
2.131095e+04, 4.722419e-01, -6.667057e-02
2.827860e+04, 4.609998e-01, -6.273776e-02
3.747491e+04, 4.505473e-01, -5.857385e-02
4.976918e+04, 4.400070e-01, -5.505322e-02
6.585677e+04, 4.309636e-01, -5.083858e-02
8.743691e+04, 4.230025e-01, -4.789336e-02
1.157480e+05, 4.144660e-01, -4.515494e-02
1.534472e+05, 4.072817e-01, -4.107031e-02
2.034181e+05, 4.011845e-01, -3.880058e-02
2.696861e+05, 3.931017e-01, -3.489734e-02
3.575525e+05, 3.861236e-01, -3.211593e-02
4.739878e+05, 3.793562e-01, -2.880233e-02
6.285148e+05, 3.721281e-01, -2.435612e-02
