EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0441309
omega, real, im
6.293263e-01, 1.334041e+00, -1.724765e-01
8.324402e-01, 1.320886e+00, -1.451315e-01
1.106767e+00, 1.311606e+00, -1.288378e-01
1.465296e+00, 1.299268e+00, -1.165290e-01
1.947914e+00, 1.290019e+00, -1.088514e-01
2.563042e+00, 1.279520e+00, -1.064539e-01
3.424066e+00, 1.269489e+00, -1.074734e-01
4.530037e+00, 1.257709e+00, -1.135932e-01
5.992113e+00, 1.243818e+00, -1.230869e-01
7.927565e+00, 1.227205e+00, -1.381450e-01
1.057009e+01, 1.204496e+00, -1.568818e-01
1.391364e+01, 1.176318e+00, -1.786188e-01
1.845393e+01, 1.137957e+00, -1.985751e-01
2.454369e+01, 1.089661e+00, -2.165058e-01
3.255131e+01, 1.038206e+00, -2.239311e-01
4.321071e+01, 9.816682e-01, -2.240144e-01
5.721156e+01, 9.346055e-01, -2.080980e-01
7.575201e+01, 8.926861e-01, -1.961767e-01
1.005888e+02, 8.588160e-01, -1.798636e-01
1.333896e+02, 8.306673e-01, -1.655305e-01
1.765735e+02, 8.062131e-01, -1.556972e-01
2.340678e+02, 7.813934e-01, -1.501936e-01
3.106798e+02, 7.564721e-01, -1.458239e-01
4.111698e+02, 7.340820e-01, -1.402116e-01
5.461295e+02, 7.098401e-01, -1.378625e-01
7.237254e+02, 6.847992e-01, -1.334607e-01
9.582557e+02, 6.623685e-01, -1.306577e-01
1.271695e+03, 6.351774e-01, -1.247187e-01
1.686208e+03, 6.154281e-01, -1.186089e-01
2.234103e+03, 5.935174e-01, -1.130843e-01
2.965431e+03, 5.738109e-01, -1.069018e-01
3.923223e+03, 5.563261e-01, -9.959088e-02
5.210048e+03, 5.381439e-01, -9.550192e-02
6.904879e+03, 5.209608e-01, -8.728686e-02
9.156696e+03, 5.050793e-01, -8.319177e-02
1.214596e+04, 4.935026e-01, -7.681204e-02
1.613231e+04, 4.794836e-01, -7.385129e-02
2.131095e+04, 4.673558e-01, -6.682139e-02
2.827860e+04, 4.557666e-01, -6.202579e-02
3.747491e+04, 4.472065e-01, -5.472882e-02
4.976918e+04, 4.385439e-01, -5.235185e-02
6.585677e+04, 4.267935e-01, -4.788300e-02
8.743691e+04, 4.212727e-01, -4.432704e-02
1.157480e+05, 4.132840e-01, -3.983338e-02
1.534472e+05, 4.064383e-01, -3.512030e-02
2.034181e+05, 4.000574e-01, -3.320941e-02
2.696861e+05, 3.957553e-01, -2.993434e-02
3.575525e+05, 3.912957e-01, -2.807444e-02
4.739878e+05, 3.866823e-01, -2.412890e-02
6.285148e+05, 3.823901e-01, -2.303942e-02
