EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0379078
omega, real, im
6.293263e-01, 7.060180e-01, -1.088371e-01
8.324402e-01, 6.968189e-01, -9.095486e-02
1.106767e+00, 6.904554e-01, -7.730529e-02
1.465296e+00, 6.808080e-01, -6.764280e-02
1.947914e+00, 6.725198e-01, -5.807540e-02
2.563042e+00, 6.659370e-01, -5.262480e-02
3.424066e+00, 6.590396e-01, -4.657261e-02
4.530037e+00, 6.542152e-01, -4.244720e-02
5.992113e+00, 6.483748e-01, -3.968548e-02
7.927565e+00, 6.434912e-01, -3.791696e-02
1.057009e+01, 6.384166e-01, -3.688224e-02
1.391364e+01, 6.345894e-01, -3.683980e-02
1.845393e+01, 6.302403e-01, -3.733566e-02
2.454369e+01, 6.270771e-01, -3.816836e-02
3.255131e+01, 6.197763e-01, -4.391339e-02
4.321071e+01, 6.136913e-01, -4.747278e-02
5.721156e+01, 6.032791e-01, -5.264981e-02
7.575201e+01, 5.954748e-01, -5.753448e-02
1.005888e+02, 5.832414e-01, -6.526539e-02
1.333896e+02, 5.695119e-01, -7.025864e-02
1.765735e+02, 5.530636e-01, -7.304127e-02
2.340678e+02, 5.349561e-01, -7.401922e-02
3.106798e+02, 5.194488e-01, -7.314503e-02
4.111698e+02, 5.053475e-01, -6.997418e-02
5.461295e+02, 4.935099e-01, -6.449363e-02
7.237254e+02, 4.810421e-01, -5.946463e-02
9.582557e+02, 4.684027e-01, -5.672848e-02
1.271695e+03, 4.596748e-01, -5.389727e-02
1.686208e+03, 4.526442e-01, -4.855276e-02
2.234103e+03, 4.446343e-01, -4.478888e-02
2.965431e+03, 4.367922e-01, -4.282967e-02
3.923223e+03, 4.318008e-01, -3.982012e-02
5.210048e+03, 4.233541e-01, -3.685038e-02
6.904879e+03, 4.185471e-01, -3.631292e-02
9.156696e+03, 4.137303e-01, -3.272866e-02
1.214596e+04, 4.072982e-01, -3.132623e-02
1.613231e+04, 4.011365e-01, -3.158702e-02
2.131095e+04, 3.959328e-01, -2.912561e-02
2.827860e+04, 3.917462e-01, -2.842971e-02
3.747491e+04, 3.861328e-01, -2.696645e-02
4.976918e+04, 3.819016e-01, -2.734040e-02
6.585677e+04, 3.760155e-01, -2.611057e-02
8.743691e+04, 3.717200e-01, -2.466838e-02
1.157480e+05, 3.669755e-01, -2.463036e-02
1.534472e+05, 3.640063e-01, -2.487393e-02
2.034181e+05, 3.587907e-01, -2.216899e-02
2.696861e+05, 3.545153e-01, -2.083274e-02
3.575525e+05, 3.485506e-01, -2.024971e-02
4.739878e+05, 3.463873e-01, -1.775320e-02
6.285148e+05, 3.396841e-01, -1.691104e-02
