EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0433801
omega, real, im
6.293263e-01, 1.411814e+00, -2.995974e-01
8.324402e-01, 1.381225e+00, -2.545213e-01
1.106767e+00, 1.355678e+00, -2.173654e-01
1.465296e+00, 1.336725e+00, -1.859811e-01
1.947914e+00, 1.325003e+00, -1.666317e-01
2.563042e+00, 1.308657e+00, -1.584784e-01
3.424066e+00, 1.289237e+00, -1.516034e-01
4.530037e+00, 1.271427e+00, -1.506524e-01
5.992113e+00, 1.252746e+00, -1.532468e-01
7.927565e+00, 1.231454e+00, -1.631090e-01
1.057009e+01, 1.203222e+00, -1.744803e-01
1.391364e+01, 1.172134e+00, -1.877594e-01
1.845393e+01, 1.132479e+00, -1.985982e-01
2.454369e+01, 1.090959e+00, -2.081241e-01
3.255131e+01, 1.041229e+00, -2.087891e-01
4.321071e+01, 9.934163e-01, -2.045956e-01
5.721156e+01, 9.552173e-01, -1.910085e-01
7.575201e+01, 9.145603e-01, -1.765438e-01
1.005888e+02, 8.854924e-01, -1.571537e-01
1.333896e+02, 8.583971e-01, -1.442550e-01
1.765735e+02, 8.378230e-01, -1.329749e-01
2.340678e+02, 8.189065e-01, -1.252039e-01
3.106798e+02, 7.980180e-01, -1.171530e-01
4.111698e+02, 7.796367e-01, -1.122330e-01
5.461295e+02, 7.612803e-01, -1.073974e-01
7.237254e+02, 7.433022e-01, -1.038883e-01
9.582557e+02, 7.247688e-01, -9.875844e-02
1.271695e+03, 7.070431e-01, -9.601441e-02
1.686208e+03, 6.905953e-01, -9.291657e-02
2.234103e+03, 6.755570e-01, -8.845898e-02
2.965431e+03, 6.596403e-01, -8.341656e-02
3.923223e+03, 6.456904e-01, -7.996435e-02
5.210048e+03, 6.307225e-01, -7.665555e-02
6.904879e+03, 6.166887e-01, -7.274970e-02
9.156696e+03, 6.029959e-01, -6.795846e-02
1.214596e+04, 5.900373e-01, -6.440584e-02
1.613231e+04, 5.821722e-01, -6.046017e-02
2.131095e+04, 5.702734e-01, -5.619334e-02
2.827860e+04, 5.609615e-01, -5.401441e-02
3.747491e+04, 5.526016e-01, -4.910630e-02
4.976918e+04, 5.424103e-01, -4.554413e-02
6.585677e+04, 5.369245e-01, -4.203545e-02
8.743691e+04, 5.287921e-01, -3.848996e-02
1.157480e+05, 5.217637e-01, -3.602701e-02
1.534472e+05, 5.160472e-01, -3.004559e-02
2.034181e+05, 5.079703e-01, -3.064144e-02
2.696861e+05, 5.046473e-01, -2.698059e-02
3.575525e+05, 5.003005e-01, -2.212046e-02
4.739878e+05, 4.943008e-01, -2.043576e-02
6.285148e+05, 4.897662e-01, -1.733241e-02
