EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.03653
omega, real, im
6.293263e-01, 1.109728e+00, -1.264018e-01
8.324402e-01, 1.091002e+00, -1.071567e-01
1.106767e+00, 1.080482e+00, -9.648787e-02
1.465296e+00, 1.071088e+00, -8.955690e-02
1.947914e+00, 1.064451e+00, -8.497187e-02
2.563042e+00, 1.055570e+00, -8.463365e-02
3.424066e+00, 1.046126e+00, -8.583178e-02
4.530037e+00, 1.034482e+00, -9.004465e-02
5.992113e+00, 1.021682e+00, -9.564805e-02
7.927565e+00, 1.006602e+00, -1.040167e-01
1.057009e+01, 9.886928e-01, -1.137500e-01
1.391364e+01, 9.693451e-01, -1.247247e-01
1.845393e+01, 9.448190e-01, -1.366063e-01
2.454369e+01, 9.169062e-01, -1.490388e-01
3.255131e+01, 8.834509e-01, -1.560510e-01
4.321071e+01, 8.466482e-01, -1.607074e-01
5.721156e+01, 8.109131e-01, -1.596833e-01
7.575201e+01, 7.766332e-01, -1.538535e-01
1.005888e+02, 7.441906e-01, -1.424903e-01
1.333896e+02, 7.190245e-01, -1.321611e-01
1.765735e+02, 6.982132e-01, -1.238894e-01
2.340678e+02, 6.769810e-01, -1.144491e-01
3.106798e+02, 6.589415e-01, -1.073590e-01
4.111698e+02, 6.404308e-01, -9.972616e-02
5.461295e+02, 6.251332e-01, -9.465442e-02
7.237254e+02, 6.089440e-01, -8.789198e-02
9.582557e+02, 5.948791e-01, -8.350781e-02
1.271695e+03, 5.818363e-01, -7.913911e-02
1.686208e+03, 5.700567e-01, -7.617136e-02
2.234103e+03, 5.554626e-01, -7.282533e-02
2.965431e+03, 5.421090e-01, -6.960680e-02
3.923223e+03, 5.310069e-01, -6.644969e-02
5.210048e+03, 5.198786e-01, -6.387351e-02
6.904879e+03, 5.093163e-01, -6.316834e-02
9.156696e+03, 4.988498e-01, -6.061108e-02
1.214596e+04, 4.890921e-01, -5.862916e-02
1.613231e+04, 4.785931e-01, -5.570376e-02
2.131095e+04, 4.674042e-01, -5.274808e-02
2.827860e+04, 4.596413e-01, -5.173826e-02
3.747491e+04, 4.501077e-01, -4.940443e-02
4.976918e+04, 4.413602e-01, -4.890770e-02
6.585677e+04, 4.323012e-01, -4.529563e-02
8.743691e+04, 4.247229e-01, -4.271960e-02
1.157480e+05, 4.170995e-01, -4.089468e-02
1.534472e+05, 4.083661e-01, -3.968484e-02
2.034181e+05, 4.008736e-01, -3.674483e-02
2.696861e+05, 3.959002e-01, -3.436859e-02
3.575525e+05, 3.889456e-01, -3.201781e-02
4.739878e+05, 3.813326e-01, -2.743848e-02
6.285148e+05, 3.744991e-01, -2.382778e-02
