EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0415269
omega, real, im
6.293263e-01, 1.197653e+00, -2.738593e-01
8.324402e-01, 1.179907e+00, -2.316526e-01
1.106767e+00, 1.158913e+00, -1.951989e-01
1.465296e+00, 1.139393e+00, -1.688608e-01
1.947914e+00, 1.123132e+00, -1.471262e-01
2.563042e+00, 1.110502e+00, -1.348423e-01
3.424066e+00, 1.094401e+00, -1.268650e-01
4.530037e+00, 1.080501e+00, -1.227233e-01
5.992113e+00, 1.064941e+00, -1.231447e-01
7.927565e+00, 1.050850e+00, -1.274091e-01
1.057009e+01, 1.031033e+00, -1.361838e-01
1.391364e+01, 1.008887e+00, -1.461357e-01
1.845393e+01, 9.807085e-01, -1.577179e-01
2.454369e+01, 9.485969e-01, -1.699333e-01
3.255131e+01, 9.098434e-01, -1.762112e-01
4.321071e+01, 8.697010e-01, -1.789881e-01
5.721156e+01, 8.290215e-01, -1.690829e-01
7.575201e+01, 7.953790e-01, -1.625335e-01
1.005888e+02, 7.636389e-01, -1.474719e-01
1.333896e+02, 7.390606e-01, -1.330861e-01
1.765735e+02, 7.205112e-01, -1.214788e-01
2.340678e+02, 7.009271e-01, -1.132126e-01
3.106798e+02, 6.844677e-01, -1.056729e-01
4.111698e+02, 6.659173e-01, -1.010124e-01
5.461295e+02, 6.493785e-01, -9.538972e-02
7.237254e+02, 6.334398e-01, -9.053757e-02
9.582557e+02, 6.215435e-01, -8.678182e-02
1.271695e+03, 6.049203e-01, -8.447950e-02
1.686208e+03, 5.911613e-01, -7.881829e-02
2.234103e+03, 5.749260e-01, -7.521981e-02
2.965431e+03, 5.645537e-01, -7.310884e-02
3.923223e+03, 5.509368e-01, -6.929668e-02
5.210048e+03, 5.388693e-01, -6.708138e-02
6.904879e+03, 5.283442e-01, -6.270933e-02
9.156696e+03, 5.154716e-01, -6.086184e-02
1.214596e+04, 5.057303e-01, -5.484276e-02
1.613231e+04, 4.972768e-01, -5.414993e-02
2.131095e+04, 4.881733e-01, -4.939048e-02
2.827860e+04, 4.773923e-01, -4.590774e-02
3.747491e+04, 4.707201e-01, -4.339090e-02
4.976918e+04, 4.623354e-01, -4.105902e-02
6.585677e+04, 4.560164e-01, -3.767461e-02
8.743691e+04, 4.503985e-01, -3.506549e-02
1.157480e+05, 4.445718e-01, -3.296499e-02
1.534472e+05, 4.376417e-01, -3.120777e-02
2.034181e+05, 4.324497e-01, -2.627526e-02
2.696861e+05, 4.281582e-01, -2.532045e-02
3.575525e+05, 4.239765e-01, -2.280964e-02
4.739878e+05, 4.178359e-01, -1.938277e-02
6.285148e+05, 4.135749e-01, -1.513551e-02
