EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0386311
omega, real, im
6.293263e-01, 8.690231e-01, -1.072245e-01
8.324402e-01, 8.580357e-01, -9.009136e-02
1.106767e+00, 8.479162e-01, -7.574037e-02
1.465296e+00, 8.410545e-01, -6.593022e-02
1.947914e+00, 8.333443e-01, -5.864455e-02
2.563042e+00, 8.284902e-01, -5.330217e-02
3.424066e+00, 8.231236e-01, -5.054021e-02
4.530037e+00, 8.182119e-01, -4.855131e-02
5.992113e+00, 8.133181e-01, -4.940096e-02
7.927565e+00, 8.073539e-01, -5.133874e-02
1.057009e+01, 8.015267e-01, -5.597813e-02
1.391364e+01, 7.948912e-01, -6.226287e-02
1.845393e+01, 7.858028e-01, -7.145095e-02
2.454369e+01, 7.717336e-01, -8.459527e-02
3.255131e+01, 7.589431e-01, -9.548839e-02
4.321071e+01, 7.383673e-01, -1.065445e-01
5.721156e+01, 7.070467e-01, -1.144252e-01
7.575201e+01, 6.855768e-01, -1.209808e-01
1.005888e+02, 6.574124e-01, -1.210952e-01
1.333896e+02, 6.302683e-01, -1.171448e-01
1.765735e+02, 6.069032e-01, -1.101601e-01
2.340678e+02, 5.864325e-01, -1.030882e-01
3.106798e+02, 5.685506e-01, -9.479854e-02
4.111698e+02, 5.524165e-01, -8.936627e-02
5.461295e+02, 5.386500e-01, -8.284935e-02
7.237254e+02, 5.242633e-01, -7.621912e-02
9.582557e+02, 5.124178e-01, -7.108074e-02
1.271695e+03, 5.009091e-01, -6.771264e-02
1.686208e+03, 4.891835e-01, -6.408623e-02
2.234103e+03, 4.800375e-01, -6.124734e-02
2.965431e+03, 4.696940e-01, -5.724450e-02
3.923223e+03, 4.608172e-01, -5.577405e-02
5.210048e+03, 4.509249e-01, -5.352881e-02
6.904879e+03, 4.409936e-01, -5.034236e-02
9.156696e+03, 4.327199e-01, -4.890407e-02
1.214596e+04, 4.252742e-01, -4.665045e-02
1.613231e+04, 4.169639e-01, -4.544951e-02
2.131095e+04, 4.088381e-01, -4.235869e-02
2.827860e+04, 4.012335e-01, -4.157647e-02
3.747491e+04, 3.933182e-01, -3.833922e-02
4.976918e+04, 3.872028e-01, -3.689979e-02
6.585677e+04, 3.804122e-01, -3.481715e-02
8.743691e+04, 3.753270e-01, -3.372725e-02
1.157480e+05, 3.682915e-01, -3.215592e-02
1.534472e+05, 3.610542e-01, -3.030368e-02
2.034181e+05, 3.580406e-01, -2.712788e-02
2.696861e+05, 3.519748e-01, -2.632904e-02
3.575525e+05, 3.469233e-01, -2.532623e-02
4.739878e+05, 3.416850e-01, -2.298073e-02
6.285148e+05, 3.364345e-01, -2.128627e-02
