EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0381704
omega, real, im
6.293263e-01, 1.586109e+00, -2.700099e-01
8.324402e-01, 1.549302e+00, -2.487776e-01
1.106767e+00, 1.512256e+00, -2.324523e-01
1.465296e+00, 1.480111e+00, -2.278167e-01
1.947914e+00, 1.446534e+00, -2.283264e-01
2.563042e+00, 1.415521e+00, -2.327083e-01
3.424066e+00, 1.377997e+00, -2.436759e-01
4.530037e+00, 1.339915e+00, -2.564511e-01
5.992113e+00, 1.294642e+00, -2.778781e-01
7.927565e+00, 1.243015e+00, -2.972113e-01
1.057009e+01, 1.178432e+00, -3.185275e-01
1.391364e+01, 1.107095e+00, -3.287067e-01
1.845393e+01, 1.028412e+00, -3.314915e-01
2.454369e+01, 9.506693e-01, -3.131264e-01
3.255131e+01, 8.806391e-01, -2.897101e-01
4.321071e+01, 8.278222e-01, -2.531748e-01
5.721156e+01, 7.840912e-01, -2.179730e-01
7.575201e+01, 7.524148e-01, -1.886144e-01
1.005888e+02, 7.302108e-01, -1.652987e-01
1.333896e+02, 7.109593e-01, -1.458390e-01
1.765735e+02, 6.922212e-01, -1.330320e-01
2.340678e+02, 6.760100e-01, -1.237516e-01
3.106798e+02, 6.577850e-01, -1.170430e-01
4.111698e+02, 6.391630e-01, -1.110436e-01
5.461295e+02, 6.217579e-01, -1.050970e-01
7.237254e+02, 6.043825e-01, -1.022688e-01
9.582557e+02, 5.874237e-01, -9.691507e-02
1.271695e+03, 5.700732e-01, -9.490921e-02
1.686208e+03, 5.545141e-01, -8.958357e-02
2.234103e+03, 5.391268e-01, -8.618171e-02
2.965431e+03, 5.227011e-01, -8.331877e-02
3.923223e+03, 5.074701e-01, -7.923748e-02
5.210048e+03, 4.946188e-01, -7.547676e-02
6.904879e+03, 4.825182e-01, -7.042438e-02
9.156696e+03, 4.698457e-01, -6.726926e-02
1.214596e+04, 4.575745e-01, -6.405846e-02
1.613231e+04, 4.460069e-01, -6.100187e-02
2.131095e+04, 4.371405e-01, -5.713625e-02
2.827860e+04, 4.268054e-01, -5.393891e-02
3.747491e+04, 4.173903e-01, -5.188564e-02
4.976918e+04, 4.077066e-01, -4.844369e-02
6.585677e+04, 4.001378e-01, -4.603672e-02
8.743691e+04, 3.913720e-01, -4.456049e-02
1.157480e+05, 3.848678e-01, -4.162108e-02
1.534472e+05, 3.759667e-01, -4.020083e-02
2.034181e+05, 3.697342e-01, -3.683220e-02
2.696861e+05, 3.621116e-01, -3.365813e-02
3.575525e+05, 3.547481e-01, -3.152271e-02
4.739878e+05, 3.499947e-01, -2.855175e-02
6.285148e+05, 3.425271e-01, -2.446699e-02
