EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0461755
omega, real, im
6.293263e-01, 1.029581e+00, -1.059811e-01
8.324402e-01, 1.019318e+00, -8.857023e-02
1.106767e+00, 1.009396e+00, -7.696667e-02
1.465296e+00, 1.000116e+00, -6.560970e-02
1.947914e+00, 9.934083e-01, -5.702813e-02
2.563042e+00, 9.870207e-01, -4.973951e-02
3.424066e+00, 9.820526e-01, -4.392191e-02
4.530037e+00, 9.771912e-01, -3.969280e-02
5.992113e+00, 9.729531e-01, -3.682368e-02
7.927565e+00, 9.693136e-01, -3.565691e-02
1.057009e+01, 9.658477e-01, -3.472003e-02
1.391364e+01, 9.628926e-01, -3.611509e-02
1.845393e+01, 9.582154e-01, -3.843621e-02
2.454369e+01, 9.565973e-01, -4.402991e-02
3.255131e+01, 9.489718e-01, -4.879187e-02
4.321071e+01, 9.436321e-01, -5.805421e-02
5.721156e+01, 9.342144e-01, -6.526524e-02
7.575201e+01, 9.232023e-01, -7.969374e-02
1.005888e+02, 9.099166e-01, -9.307212e-02
1.333896e+02, 8.911421e-01, -1.069981e-01
1.765735e+02, 8.666726e-01, -1.197015e-01
2.340678e+02, 8.396668e-01, -1.288728e-01
3.106798e+02, 8.115623e-01, -1.343383e-01
4.111698e+02, 7.819338e-01, -1.375923e-01
5.461295e+02, 7.557670e-01, -1.372585e-01
7.237254e+02, 7.287219e-01, -1.369980e-01
9.582557e+02, 7.026160e-01, -1.369691e-01
1.271695e+03, 6.761212e-01, -1.316967e-01
1.686208e+03, 6.490641e-01, -1.265079e-01
2.234103e+03, 6.266018e-01, -1.258234e-01
2.965431e+03, 6.033011e-01, -1.206047e-01
3.923223e+03, 5.806367e-01, -1.127796e-01
5.210048e+03, 5.582359e-01, -1.085440e-01
6.904879e+03, 5.408247e-01, -1.030614e-01
9.156696e+03, 5.227017e-01, -9.550025e-02
1.214596e+04, 5.057658e-01, -9.021477e-02
1.613231e+04, 4.890414e-01, -8.278978e-02
2.131095e+04, 4.767350e-01, -7.590274e-02
2.827860e+04, 4.627068e-01, -7.100594e-02
3.747491e+04, 4.509696e-01, -6.376950e-02
4.976918e+04, 4.423629e-01, -5.725786e-02
6.585677e+04, 4.303500e-01, -5.258323e-02
8.743691e+04, 4.244683e-01, -4.948327e-02
1.157480e+05, 4.155249e-01, -4.251318e-02
1.534472e+05, 4.085027e-01, -3.799813e-02
2.034181e+05, 4.023109e-01, -3.687029e-02
2.696861e+05, 3.955237e-01, -3.074432e-02
3.575525e+05, 3.908107e-01, -2.653950e-02
4.739878e+05, 3.861170e-01, -2.272491e-02
6.285148e+05, 3.817888e-01, -2.045879e-02
