EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0431429
omega, real, im
6.293263e-01, 6.310530e-01, -9.449366e-02
8.324402e-01, 6.184515e-01, -7.845542e-02
1.106767e+00, 6.120824e-01, -6.765652e-02
1.465296e+00, 6.055641e-01, -5.838281e-02
1.947914e+00, 6.003234e-01, -5.029256e-02
2.563042e+00, 5.944622e-01, -4.437655e-02
3.424066e+00, 5.892114e-01, -3.881352e-02
4.530037e+00, 5.848125e-01, -3.593449e-02
5.992113e+00, 5.807791e-01, -3.252107e-02
7.927565e+00, 5.767735e-01, -3.116851e-02
1.057009e+01, 5.727804e-01, -3.080774e-02
1.391364e+01, 5.696686e-01, -3.113846e-02
1.845393e+01, 5.659614e-01, -3.214961e-02
2.454369e+01, 5.621854e-01, -3.554076e-02
3.255131e+01, 5.589176e-01, -3.802712e-02
4.321071e+01, 5.514269e-01, -4.523475e-02
5.721156e+01, 5.460067e-01, -5.433028e-02
7.575201e+01, 5.347931e-01, -5.890912e-02
1.005888e+02, 5.230207e-01, -6.737555e-02
1.333896e+02, 5.080129e-01, -7.520551e-02
1.765735e+02, 4.895469e-01, -7.863302e-02
2.340678e+02, 4.719878e-01, -8.280548e-02
3.106798e+02, 4.519053e-01, -8.032943e-02
4.111698e+02, 4.379528e-01, -7.742824e-02
5.461295e+02, 4.216267e-01, -7.298015e-02
7.237254e+02, 4.079011e-01, -6.933396e-02
9.582557e+02, 3.977064e-01, -6.652910e-02
1.271695e+03, 3.879815e-01, -6.628433e-02
1.686208e+03, 3.750333e-01, -6.063868e-02
2.234103e+03, 3.654255e-01, -5.973910e-02
2.965431e+03, 3.541461e-01, -5.749553e-02
3.923223e+03, 3.453188e-01, -5.679009e-02
5.210048e+03, 3.339818e-01, -5.468540e-02
6.904879e+03, 3.236259e-01, -5.436447e-02
9.156696e+03, 3.145941e-01, -5.128219e-02
1.214596e+04, 3.061795e-01, -5.008753e-02
1.613231e+04, 2.983190e-01, -4.881772e-02
2.131095e+04, 2.875007e-01, -4.556799e-02
2.827860e+04, 2.793320e-01, -4.344802e-02
3.747491e+04, 2.713017e-01, -4.142774e-02
4.976918e+04, 2.639579e-01, -3.762890e-02
6.585677e+04, 2.582577e-01, -3.575284e-02
8.743691e+04, 2.527514e-01, -3.313093e-02
1.157480e+05, 2.462361e-01, -3.014064e-02
1.534472e+05, 2.396891e-01, -2.782318e-02
2.034181e+05, 2.341584e-01, -2.553879e-02
2.696861e+05, 2.297245e-01, -2.203992e-02
3.575525e+05, 2.272516e-01, -2.082080e-02
4.739878e+05, 2.213922e-01, -1.549859e-02
6.285148e+05, 2.164408e-01, -1.116968e-02
