EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0386247
omega, real, im
6.293263e-01, 8.544366e-01, -1.173035e-01
8.324402e-01, 8.447741e-01, -1.002454e-01
1.106767e+00, 8.328615e-01, -8.757562e-02
1.465296e+00, 8.234433e-01, -7.765456e-02
1.947914e+00, 8.144877e-01, -7.189843e-02
2.563042e+00, 8.072171e-01, -6.798699e-02
3.424066e+00, 8.001423e-01, -6.716189e-02
4.530037e+00, 7.923831e-01, -6.754300e-02
5.992113e+00, 7.848058e-01, -7.114625e-02
7.927565e+00, 7.754334e-01, -7.599286e-02
1.057009e+01, 7.651145e-01, -8.431529e-02
1.391364e+01, 7.521601e-01, -9.408817e-02
1.845393e+01, 7.365152e-01, -1.061612e-01
2.454369e+01, 7.160303e-01, -1.197019e-01
3.255131e+01, 6.873434e-01, -1.310999e-01
4.321071e+01, 6.567359e-01, -1.390489e-01
5.721156e+01, 6.239857e-01, -1.428774e-01
7.575201e+01, 5.907521e-01, -1.388450e-01
1.005888e+02, 5.621336e-01, -1.315467e-01
1.333896e+02, 5.367655e-01, -1.198425e-01
1.765735e+02, 5.164438e-01, -1.113062e-01
2.340678e+02, 4.986127e-01, -1.029060e-01
3.106798e+02, 4.826483e-01, -9.397779e-02
4.111698e+02, 4.662527e-01, -8.836300e-02
5.461295e+02, 4.527045e-01, -8.188094e-02
7.237254e+02, 4.386221e-01, -7.635318e-02
9.582557e+02, 4.262914e-01, -7.200784e-02
1.271695e+03, 4.134242e-01, -6.858131e-02
1.686208e+03, 4.031664e-01, -6.481647e-02
2.234103e+03, 3.943346e-01, -6.283613e-02
2.965431e+03, 3.818687e-01, -5.991525e-02
3.923223e+03, 3.730611e-01, -5.613755e-02
5.210048e+03, 3.635328e-01, -5.275720e-02
6.904879e+03, 3.537647e-01, -5.194318e-02
9.156696e+03, 3.446064e-01, -4.891930e-02
1.214596e+04, 3.357280e-01, -4.699917e-02
1.613231e+04, 3.284429e-01, -4.492757e-02
2.131095e+04, 3.208258e-01, -4.200829e-02
2.827860e+04, 3.139272e-01, -4.006279e-02
3.747491e+04, 3.062800e-01, -3.897808e-02
4.976918e+04, 3.002850e-01, -3.655723e-02
6.585677e+04, 2.941815e-01, -3.419632e-02
8.743691e+04, 2.879640e-01, -3.306368e-02
1.157480e+05, 2.822933e-01, -3.117257e-02
1.534472e+05, 2.759024e-01, -3.096281e-02
2.034181e+05, 2.723092e-01, -2.997753e-02
2.696861e+05, 2.655321e-01, -2.923054e-02
3.575525e+05, 2.601861e-01, -2.850171e-02
4.739878e+05, 2.554205e-01, -2.709300e-02
6.285148e+05, 2.507940e-01, -2.665753e-02
