EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0403513
omega, real, im
6.293263e-01, 6.119927e-01, -9.385324e-02
8.324402e-01, 6.059563e-01, -7.605331e-02
1.106767e+00, 6.022434e-01, -6.572987e-02
1.465296e+00, 5.951353e-01, -5.682827e-02
1.947914e+00, 5.903308e-01, -4.873464e-02
2.563042e+00, 5.854906e-01, -4.288083e-02
3.424066e+00, 5.823720e-01, -3.779036e-02
4.530037e+00, 5.787148e-01, -3.628690e-02
5.992113e+00, 5.748966e-01, -3.510351e-02
7.927565e+00, 5.708634e-01, -3.538036e-02
1.057009e+01, 5.671060e-01, -3.439463e-02
1.391364e+01, 5.630586e-01, -3.679017e-02
1.845393e+01, 5.577878e-01, -3.966165e-02
2.454369e+01, 5.538550e-01, -4.723167e-02
3.255131e+01, 5.472580e-01, -5.229249e-02
4.321071e+01, 5.364878e-01, -5.813384e-02
5.721156e+01, 5.250432e-01, -6.096310e-02
7.575201e+01, 5.143344e-01, -6.789797e-02
1.005888e+02, 4.966196e-01, -7.660881e-02
1.333896e+02, 4.794174e-01, -8.055257e-02
1.765735e+02, 4.607771e-01, -7.833777e-02
2.340678e+02, 4.407295e-01, -7.392575e-02
3.106798e+02, 4.273763e-01, -6.889635e-02
4.111698e+02, 4.128381e-01, -6.325378e-02
5.461295e+02, 4.006428e-01, -6.352920e-02
7.237254e+02, 3.953725e-01, -5.588138e-02
9.582557e+02, 3.842467e-01, -5.402009e-02
1.271695e+03, 3.771338e-01, -4.844866e-02
1.686208e+03, 3.679700e-01, -4.394164e-02
2.234103e+03, 3.612476e-01, -4.062270e-02
2.965431e+03, 3.530658e-01, -3.735869e-02
3.923223e+03, 3.468066e-01, -3.921556e-02
5.210048e+03, 3.429538e-01, -3.518265e-02
6.904879e+03, 3.360462e-01, -3.581547e-02
9.156696e+03, 3.326336e-01, -3.333178e-02
1.214596e+04, 3.248552e-01, -3.177754e-02
1.613231e+04, 3.175815e-01, -3.158597e-02
2.131095e+04, 3.143104e-01, -3.080046e-02
2.827860e+04, 3.096958e-01, -2.759415e-02
3.747491e+04, 3.049478e-01, -2.766738e-02
4.976918e+04, 3.005287e-01, -2.589258e-02
6.585677e+04, 2.923597e-01, -2.533494e-02
8.743691e+04, 2.926135e-01, -2.526665e-02
1.157480e+05, 2.842047e-01, -1.964080e-02
1.534472e+05, 2.848249e-01, -2.321821e-02
2.034181e+05, 2.800418e-01, -2.247134e-02
2.696861e+05, 2.756958e-01, -1.857390e-02
3.575525e+05, 2.733388e-01, -1.685432e-02
4.739878e+05, 2.661344e-01, -1.487907e-02
6.285148e+05, 2.641909e-01, -1.125527e-02
