EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0415292
omega, real, im
6.293263e-01, 5.740666e-01, -9.638176e-02
8.324402e-01, 5.617791e-01, -7.686160e-02
1.106767e+00, 5.565529e-01, -6.204206e-02
1.465296e+00, 5.519115e-01, -5.438919e-02
1.947914e+00, 5.453839e-01, -4.700430e-02
2.563042e+00, 5.407513e-01, -4.132532e-02
3.424066e+00, 5.356681e-01, -3.559413e-02
4.530037e+00, 5.328131e-01, -3.197505e-02
5.992113e+00, 5.285296e-01, -2.970751e-02
7.927565e+00, 5.253225e-01, -2.920009e-02
1.057009e+01, 5.219747e-01, -2.845722e-02
1.391364e+01, 5.184116e-01, -2.878216e-02
1.845393e+01, 5.154489e-01, -3.133733e-02
2.454369e+01, 5.119560e-01, -3.387123e-02
3.255131e+01, 5.077676e-01, -3.749601e-02
4.321071e+01, 5.030529e-01, -4.419153e-02
5.721156e+01, 4.913902e-01, -4.709613e-02
7.575201e+01, 4.843698e-01, -5.573941e-02
1.005888e+02, 4.721145e-01, -6.179638e-02
1.333896e+02, 4.586909e-01, -6.754423e-02
1.765735e+02, 4.401516e-01, -7.326746e-02
2.340678e+02, 4.256577e-01, -7.424251e-02
3.106798e+02, 4.087904e-01, -7.218965e-02
4.111698e+02, 3.943909e-01, -6.643733e-02
5.461295e+02, 3.815665e-01, -6.534675e-02
7.237254e+02, 3.681352e-01, -5.843104e-02
9.582557e+02, 3.599229e-01, -5.704702e-02
1.271695e+03, 3.493433e-01, -5.070832e-02
1.686208e+03, 3.417881e-01, -4.530561e-02
2.234103e+03, 3.344810e-01, -4.510446e-02
2.965431e+03, 3.272277e-01, -4.149568e-02
3.923223e+03, 3.200972e-01, -3.855791e-02
5.210048e+03, 3.150669e-01, -3.948464e-02
6.904879e+03, 3.081902e-01, -3.714731e-02
9.156696e+03, 3.018787e-01, -3.527987e-02
1.214596e+04, 2.960253e-01, -3.523829e-02
1.613231e+04, 2.897093e-01, -3.390275e-02
2.131095e+04, 2.802918e-01, -3.298752e-02
2.827860e+04, 2.771580e-01, -3.027268e-02
3.747491e+04, 2.740282e-01, -2.889294e-02
4.976918e+04, 2.669682e-01, -2.882930e-02
6.585677e+04, 2.618880e-01, -2.836746e-02
8.743691e+04, 2.555647e-01, -2.359177e-02
1.157480e+05, 2.513468e-01, -2.443505e-02
1.534472e+05, 2.476349e-01, -2.395037e-02
2.034181e+05, 2.435677e-01, -2.084086e-02
2.696861e+05, 2.385467e-01, -1.855643e-02
3.575525e+05, 2.341775e-01, -1.562881e-02
4.739878e+05, 2.306708e-01, -1.353293e-02
6.285148e+05, 2.255282e-01, -1.156138e-02
