EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.038635
omega, real, im
6.293263e-01, 7.161645e-01, -1.456956e-01
8.324402e-01, 7.039243e-01, -1.221030e-01
1.106767e+00, 6.925843e-01, -1.031646e-01
1.465296e+00, 6.875683e-01, -8.579531e-02
1.947914e+00, 6.826624e-01, -7.570054e-02
2.563042e+00, 6.757553e-01, -6.689506e-02
3.424066e+00, 6.698061e-01, -5.969441e-02
4.530037e+00, 6.636569e-01, -5.440135e-02
5.992113e+00, 6.587282e-01, -5.181174e-02
7.927565e+00, 6.525828e-01, -5.095795e-02
1.057009e+01, 6.467146e-01, -5.132741e-02
1.391364e+01, 6.401670e-01, -5.386735e-02
1.845393e+01, 6.333661e-01, -5.779156e-02
2.454369e+01, 6.253796e-01, -6.045464e-02
3.255131e+01, 6.134042e-01, -7.120410e-02
4.321071e+01, 6.004487e-01, -7.641999e-02
5.721156e+01, 5.808675e-01, -8.443327e-02
7.575201e+01, 5.643560e-01, -8.958383e-02
1.005888e+02, 5.447418e-01, -9.168049e-02
1.333896e+02, 5.241325e-01, -9.041079e-02
1.765735e+02, 5.040300e-01, -8.558260e-02
2.340678e+02, 4.884295e-01, -8.033157e-02
3.106798e+02, 4.724138e-01, -7.472464e-02
4.111698e+02, 4.598323e-01, -6.855680e-02
5.461295e+02, 4.482307e-01, -6.277309e-02
7.237254e+02, 4.395129e-01, -5.718859e-02
9.582557e+02, 4.286329e-01, -5.478217e-02
1.271695e+03, 4.203131e-01, -4.882380e-02
1.686208e+03, 4.125715e-01, -4.541689e-02
2.234103e+03, 4.067309e-01, -4.249956e-02
2.965431e+03, 3.999914e-01, -4.126463e-02
3.923223e+03, 3.936690e-01, -3.817009e-02
5.210048e+03, 3.852841e-01, -3.598560e-02
6.904879e+03, 3.801204e-01, -3.511924e-02
9.156696e+03, 3.744454e-01, -3.339617e-02
1.214596e+04, 3.709896e-01, -3.140871e-02
1.613231e+04, 3.646021e-01, -2.973199e-02
2.131095e+04, 3.584034e-01, -2.945776e-02
2.827860e+04, 3.533363e-01, -2.850502e-02
3.747491e+04, 3.484136e-01, -2.752301e-02
4.976918e+04, 3.440062e-01, -2.517474e-02
6.585677e+04, 3.401106e-01, -2.472811e-02
8.743691e+04, 3.346740e-01, -2.385988e-02
1.157480e+05, 3.311625e-01, -2.066369e-02
1.534472e+05, 3.276997e-01, -1.948144e-02
2.034181e+05, 3.211807e-01, -1.981117e-02
2.696861e+05, 3.184642e-01, -2.014930e-02
3.575525e+05, 3.151150e-01, -1.853022e-02
4.739878e+05, 3.110778e-01, -1.708112e-02
6.285148e+05, 3.052454e-01, -1.448943e-02
