EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.041487
omega, real, im
6.293263e-01, 1.079644e+00, -1.513214e-01
8.324402e-01, 1.061866e+00, -1.285582e-01
1.106767e+00, 1.047895e+00, -1.128898e-01
1.465296e+00, 1.037565e+00, -9.861197e-02
1.947914e+00, 1.028432e+00, -8.990055e-02
2.563042e+00, 1.018793e+00, -8.250155e-02
3.424066e+00, 1.010602e+00, -7.798190e-02
4.530037e+00, 1.001219e+00, -7.623024e-02
5.992113e+00, 9.930997e-01, -7.703453e-02
7.927565e+00, 9.834900e-01, -7.967490e-02
1.057009e+01, 9.735174e-01, -8.551892e-02
1.391364e+01, 9.625069e-01, -9.414226e-02
1.845393e+01, 9.488026e-01, -1.060859e-01
2.454369e+01, 9.265562e-01, -1.230846e-01
3.255131e+01, 9.066974e-01, -1.361449e-01
4.321071e+01, 8.758935e-01, -1.524594e-01
5.721156e+01, 8.319335e-01, -1.592638e-01
7.575201e+01, 8.039572e-01, -1.685679e-01
1.005888e+02, 7.643464e-01, -1.663834e-01
1.333896e+02, 7.323905e-01, -1.616909e-01
1.765735e+02, 6.993911e-01, -1.535490e-01
2.340678e+02, 6.728960e-01, -1.434432e-01
3.106798e+02, 6.470944e-01, -1.374194e-01
4.111698e+02, 6.250187e-01, -1.321742e-01
5.461295e+02, 6.026048e-01, -1.243887e-01
7.237254e+02, 5.799912e-01, -1.194252e-01
9.582557e+02, 5.591990e-01, -1.144479e-01
1.271695e+03, 5.408760e-01, -1.101786e-01
1.686208e+03, 5.219577e-01, -1.042178e-01
2.234103e+03, 5.026965e-01, -1.001567e-01
2.965431e+03, 4.852200e-01, -9.638391e-02
3.923223e+03, 4.696080e-01, -9.091728e-02
5.210048e+03, 4.528962e-01, -8.688742e-02
6.904879e+03, 4.366913e-01, -8.057515e-02
9.156696e+03, 4.238861e-01, -7.660797e-02
1.214596e+04, 4.089871e-01, -7.223418e-02
1.613231e+04, 3.983847e-01, -6.850072e-02
2.131095e+04, 3.876528e-01, -6.429323e-02
2.827860e+04, 3.754985e-01, -6.002124e-02
3.747491e+04, 3.641761e-01, -5.589896e-02
4.976918e+04, 3.567374e-01, -5.148112e-02
6.585677e+04, 3.475723e-01, -4.773235e-02
8.743691e+04, 3.394039e-01, -4.470229e-02
1.157480e+05, 3.321916e-01, -4.160819e-02
1.534472e+05, 3.247749e-01, -3.952006e-02
2.034181e+05, 3.203865e-01, -3.535748e-02
2.696861e+05, 3.114232e-01, -3.062880e-02
3.575525e+05, 3.067062e-01, -2.887989e-02
4.739878e+05, 3.026899e-01, -2.695711e-02
6.285148e+05, 2.960317e-01, -2.310535e-02
