EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0416071
omega, real, im
6.293263e-01, 1.488976e+00, -2.684185e-01
8.324402e-01, 1.462666e+00, -2.346981e-01
1.106767e+00, 1.434649e+00, -2.135936e-01
1.465296e+00, 1.416022e+00, -1.979168e-01
1.947914e+00, 1.397329e+00, -1.934965e-01
2.563042e+00, 1.376516e+00, -1.924146e-01
3.424066e+00, 1.353718e+00, -2.005880e-01
4.530037e+00, 1.326139e+00, -2.137001e-01
5.992113e+00, 1.294106e+00, -2.334707e-01
7.927565e+00, 1.251932e+00, -2.566361e-01
1.057009e+01, 1.200340e+00, -2.829261e-01
1.391364e+01, 1.136753e+00, -3.045420e-01
1.845393e+01, 1.065768e+00, -3.154266e-01
2.454369e+01, 9.839432e-01, -3.104232e-01
3.255131e+01, 9.149118e-01, -2.956044e-01
4.321071e+01, 8.517269e-01, -2.636463e-01
5.721156e+01, 8.100851e-01, -2.241724e-01
7.575201e+01, 7.691427e-01, -2.069800e-01
1.005888e+02, 7.415612e-01, -1.813872e-01
1.333896e+02, 7.191422e-01, -1.657303e-01
1.765735e+02, 6.957855e-01, -1.541606e-01
2.340678e+02, 6.754831e-01, -1.447144e-01
3.106798e+02, 6.545683e-01, -1.383253e-01
4.111698e+02, 6.298330e-01, -1.344542e-01
5.461295e+02, 6.077808e-01, -1.312924e-01
7.237254e+02, 5.840353e-01, -1.255827e-01
9.582557e+02, 5.605959e-01, -1.188038e-01
1.271695e+03, 5.414479e-01, -1.147290e-01
1.686208e+03, 5.215983e-01, -1.071011e-01
2.234103e+03, 5.012835e-01, -1.022857e-01
2.965431e+03, 4.866015e-01, -9.573088e-02
3.923223e+03, 4.689374e-01, -9.067421e-02
5.210048e+03, 4.507367e-01, -8.489354e-02
6.904879e+03, 4.379301e-01, -8.275582e-02
9.156696e+03, 4.260807e-01, -7.565723e-02
1.214596e+04, 4.119879e-01, -7.085793e-02
1.613231e+04, 3.994366e-01, -6.757462e-02
2.131095e+04, 3.893048e-01, -6.183427e-02
2.827860e+04, 3.771707e-01, -5.809965e-02
3.747491e+04, 3.681807e-01, -5.339840e-02
4.976918e+04, 3.599083e-01, -4.912793e-02
6.585677e+04, 3.504446e-01, -4.700247e-02
8.743691e+04, 3.426014e-01, -4.290149e-02
1.157480e+05, 3.356449e-01, -4.018953e-02
1.534472e+05, 3.287731e-01, -3.529979e-02
2.034181e+05, 3.233685e-01, -3.510386e-02
2.696861e+05, 3.183148e-01, -3.217275e-02
3.575525e+05, 3.130573e-01, -2.834894e-02
4.739878e+05, 3.075115e-01, -2.660631e-02
6.285148e+05, 3.040152e-01, -2.253247e-02
