EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.041093
omega, real, im
6.293263e-01, 1.021392e+00, -1.065263e-01
8.324402e-01, 1.011728e+00, -9.029274e-02
1.106767e+00, 1.000419e+00, -7.842402e-02
1.465296e+00, 9.917527e-01, -6.900644e-02
1.947914e+00, 9.837511e-01, -6.349495e-02
2.563042e+00, 9.767073e-01, -5.920147e-02
3.424066e+00, 9.703827e-01, -5.806481e-02
4.530037e+00, 9.639689e-01, -5.807300e-02
5.992113e+00, 9.582053e-01, -6.102907e-02
7.927565e+00, 9.511111e-01, -6.605605e-02
1.057009e+01, 9.426337e-01, -7.397650e-02
1.391364e+01, 9.322217e-01, -8.366700e-02
1.845393e+01, 9.186022e-01, -9.645571e-02
2.454369e+01, 8.990203e-01, -1.106678e-01
3.255131e+01, 8.762257e-01, -1.242862e-01
4.321071e+01, 8.462250e-01, -1.358541e-01
5.721156e+01, 8.087211e-01, -1.285202e-01
7.575201e+01, 7.801421e-01, -1.417873e-01
1.005888e+02, 7.495898e-01, -1.346051e-01
1.333896e+02, 7.219727e-01, -1.251765e-01
1.765735e+02, 7.005659e-01, -1.156044e-01
2.340678e+02, 6.814103e-01, -1.081945e-01
3.106798e+02, 6.628647e-01, -1.011189e-01
4.111698e+02, 6.471181e-01, -9.435778e-02
5.461295e+02, 6.320706e-01, -8.675393e-02
7.237254e+02, 6.173766e-01, -8.285050e-02
9.582557e+02, 6.040629e-01, -7.853529e-02
1.271695e+03, 5.911216e-01, -7.557875e-02
1.686208e+03, 5.775599e-01, -7.230780e-02
2.234103e+03, 5.672718e-01, -6.971902e-02
2.965431e+03, 5.542135e-01, -6.791565e-02
3.923223e+03, 5.430830e-01, -6.543572e-02
5.210048e+03, 5.307533e-01, -6.207329e-02
6.904879e+03, 5.199234e-01, -5.927054e-02
9.156696e+03, 5.106838e-01, -5.792674e-02
1.214596e+04, 4.994853e-01, -5.601145e-02
1.613231e+04, 4.904712e-01, -5.258388e-02
2.131095e+04, 4.810300e-01, -4.966179e-02
2.827860e+04, 4.722197e-01, -4.619721e-02
3.747491e+04, 4.642662e-01, -4.333482e-02
4.976918e+04, 4.566720e-01, -4.093326e-02
6.585677e+04, 4.492343e-01, -3.832509e-02
8.743691e+04, 4.430601e-01, -3.730045e-02
1.157480e+05, 4.365684e-01, -3.477683e-02
1.534472e+05, 4.316517e-01, -3.280053e-02
2.034181e+05, 4.250406e-01, -3.218209e-02
2.696861e+05, 4.203823e-01, -2.699127e-02
3.575525e+05, 4.139068e-01, -2.485472e-02
4.739878e+05, 4.088401e-01, -2.135911e-02
6.285148e+05, 4.029662e-01, -1.991131e-02
