EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0364085
omega, real, im
6.293263e-01, 8.831050e-01, -1.031513e-01
8.324402e-01, 8.783005e-01, -9.112089e-02
1.106767e+00, 8.727622e-01, -7.933305e-02
1.465296e+00, 8.640649e-01, -7.012445e-02
1.947914e+00, 8.570282e-01, -6.156808e-02
2.563042e+00, 8.517870e-01, -5.838368e-02
3.424066e+00, 8.438621e-01, -5.627622e-02
4.530037e+00, 8.377467e-01, -5.532461e-02
5.992113e+00, 8.308032e-01, -5.598665e-02
7.927565e+00, 8.245314e-01, -5.894900e-02
1.057009e+01, 8.168837e-01, -6.322314e-02
1.391364e+01, 8.088335e-01, -6.943197e-02
1.845393e+01, 7.975270e-01, -7.723395e-02
2.454369e+01, 7.846963e-01, -8.637814e-02
3.255131e+01, 7.668579e-01, -9.640429e-02
4.321071e+01, 7.459530e-01, -1.054035e-01
5.721156e+01, 7.216386e-01, -1.096640e-01
7.575201e+01, 6.950628e-01, -1.143064e-01
1.005888e+02, 6.691617e-01, -1.111257e-01
1.333896e+02, 6.454407e-01, -1.063567e-01
1.765735e+02, 6.253164e-01, -9.894411e-02
2.340678e+02, 6.067924e-01, -9.264710e-02
3.106798e+02, 5.929016e-01, -8.502850e-02
4.111698e+02, 5.783449e-01, -8.014861e-02
5.461295e+02, 5.647034e-01, -7.221132e-02
7.237254e+02, 5.546874e-01, -6.817128e-02
9.582557e+02, 5.433059e-01, -6.233163e-02
1.271695e+03, 5.325363e-01, -5.834912e-02
1.686208e+03, 5.243102e-01, -5.641105e-02
2.234103e+03, 5.139760e-01, -5.128106e-02
2.965431e+03, 5.056831e-01, -5.009989e-02
3.923223e+03, 4.990675e-01, -4.746727e-02
5.210048e+03, 4.902454e-01, -4.586080e-02
6.904879e+03, 4.812752e-01, -4.245410e-02
9.156696e+03, 4.735054e-01, -4.281218e-02
1.214596e+04, 4.675725e-01, -4.169883e-02
1.613231e+04, 4.608936e-01, -3.985319e-02
2.131095e+04, 4.534707e-01, -3.907676e-02
2.827860e+04, 4.465431e-01, -3.671974e-02
3.747491e+04, 4.412226e-01, -3.655733e-02
4.976918e+04, 4.346086e-01, -3.492327e-02
6.585677e+04, 4.283419e-01, -3.362856e-02
8.743691e+04, 4.234133e-01, -3.339199e-02
1.157480e+05, 4.166212e-01, -3.184749e-02
1.534472e+05, 4.110989e-01, -2.949266e-02
2.034181e+05, 4.050625e-01, -3.010647e-02
2.696861e+05, 3.994593e-01, -2.879144e-02
3.575525e+05, 3.937352e-01, -2.701800e-02
4.739878e+05, 3.880123e-01, -2.396163e-02
6.285148e+05, 3.815009e-01, -2.208752e-02
