EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0401954
omega, real, im
6.293263e-01, 1.239950e+00, -4.136991e-01
8.324402e-01, 1.216666e+00, -3.381009e-01
1.106767e+00, 1.198276e+00, -2.807544e-01
1.465296e+00, 1.178936e+00, -2.412221e-01
1.947914e+00, 1.157873e+00, -2.090837e-01
2.563042e+00, 1.140694e+00, -1.873653e-01
3.424066e+00, 1.121051e+00, -1.711144e-01
4.530037e+00, 1.104769e+00, -1.616215e-01
5.992113e+00, 1.084495e+00, -1.587001e-01
7.927565e+00, 1.065368e+00, -1.597718e-01
1.057009e+01, 1.041420e+00, -1.664975e-01
1.391364e+01, 1.015753e+00, -1.748955e-01
1.845393e+01, 9.826551e-01, -1.865519e-01
2.454369e+01, 9.478782e-01, -1.960179e-01
3.255131e+01, 8.987255e-01, -2.018288e-01
4.321071e+01, 8.540198e-01, -1.984788e-01
5.721156e+01, 8.120486e-01, -1.915898e-01
7.575201e+01, 7.736582e-01, -1.736397e-01
1.005888e+02, 7.433656e-01, -1.573810e-01
1.333896e+02, 7.180732e-01, -1.437504e-01
1.765735e+02, 6.972278e-01, -1.344076e-01
2.340678e+02, 6.771534e-01, -1.241391e-01
3.106798e+02, 6.578844e-01, -1.180611e-01
4.111698e+02, 6.386195e-01, -1.122957e-01
5.461295e+02, 6.187450e-01, -1.069406e-01
7.237254e+02, 6.014413e-01, -1.031518e-01
9.582557e+02, 5.845906e-01, -9.645858e-02
1.271695e+03, 5.687156e-01, -9.257594e-02
1.686208e+03, 5.508234e-01, -8.652202e-02
2.234103e+03, 5.346783e-01, -8.237842e-02
2.965431e+03, 5.216025e-01, -7.748646e-02
3.923223e+03, 5.078175e-01, -7.305067e-02
5.210048e+03, 4.964154e-01, -6.898102e-02
6.904879e+03, 4.848501e-01, -6.469893e-02
9.156696e+03, 4.741511e-01, -6.165336e-02
1.214596e+04, 4.630743e-01, -5.698772e-02
1.613231e+04, 4.527250e-01, -5.385507e-02
2.131095e+04, 4.444730e-01, -5.139412e-02
2.827860e+04, 4.362577e-01, -4.873091e-02
3.747491e+04, 4.287116e-01, -4.418309e-02
4.976918e+04, 4.198077e-01, -4.178112e-02
6.585677e+04, 4.133473e-01, -3.890506e-02
8.743691e+04, 4.072559e-01, -3.724397e-02
1.157480e+05, 4.011987e-01, -3.546084e-02
1.534472e+05, 3.932112e-01, -3.230188e-02
2.034181e+05, 3.903220e-01, -2.885692e-02
2.696861e+05, 3.824671e-01, -2.661030e-02
3.575525e+05, 3.791634e-01, -2.422372e-02
4.739878e+05, 3.722523e-01, -2.200689e-02
6.285148e+05, 3.682733e-01, -1.924864e-02
