EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0381174
omega, real, im
6.293263e-01, 1.229956e+00, -1.444876e-01
8.324402e-01, 1.213727e+00, -1.303920e-01
1.106767e+00, 1.194043e+00, -1.189856e-01
1.465296e+00, 1.175640e+00, -1.122478e-01
1.947914e+00, 1.157158e+00, -1.083627e-01
2.563042e+00, 1.142742e+00, -1.072421e-01
3.424066e+00, 1.128187e+00, -1.109101e-01
4.530037e+00, 1.114034e+00, -1.160565e-01
5.992113e+00, 1.098019e+00, -1.272415e-01
7.927565e+00, 1.079083e+00, -1.401028e-01
1.057009e+01, 1.055082e+00, -1.589993e-01
1.391364e+01, 1.025394e+00, -1.767232e-01
1.845393e+01, 9.873042e-01, -1.957942e-01
2.454369e+01, 9.394336e-01, -2.089778e-01
3.255131e+01, 8.883110e-01, -2.159509e-01
4.321071e+01, 8.376052e-01, -2.096714e-01
5.721156e+01, 7.919580e-01, -1.964077e-01
7.575201e+01, 7.528611e-01, -1.787944e-01
1.005888e+02, 7.236993e-01, -1.602271e-01
1.333896e+02, 6.988880e-01, -1.456238e-01
1.765735e+02, 6.784310e-01, -1.323340e-01
2.340678e+02, 6.583110e-01, -1.240619e-01
3.106798e+02, 6.391187e-01, -1.152961e-01
4.111698e+02, 6.215208e-01, -1.081722e-01
5.461295e+02, 6.027166e-01, -1.051063e-01
7.237254e+02, 5.862308e-01, -9.719229e-02
9.582557e+02, 5.710704e-01, -9.397191e-02
1.271695e+03, 5.561877e-01, -9.043387e-02
1.686208e+03, 5.394343e-01, -8.611195e-02
2.234103e+03, 5.271525e-01, -8.368774e-02
2.965431e+03, 5.097826e-01, -7.956021e-02
3.923223e+03, 4.983797e-01, -7.734597e-02
5.210048e+03, 4.836510e-01, -7.392518e-02
6.904879e+03, 4.699112e-01, -7.153476e-02
9.156696e+03, 4.593842e-01, -6.680529e-02
1.214596e+04, 4.464494e-01, -6.438867e-02
1.613231e+04, 4.341340e-01, -6.069137e-02
2.131095e+04, 4.238607e-01, -5.789652e-02
2.827860e+04, 4.140109e-01, -5.635082e-02
3.747491e+04, 4.041185e-01, -5.336188e-02
4.976918e+04, 3.955991e-01, -5.035903e-02
6.585677e+04, 3.874247e-01, -4.827686e-02
8.743691e+04, 3.788213e-01, -4.566074e-02
1.157480e+05, 3.709810e-01, -4.095010e-02
1.534472e+05, 3.629791e-01, -4.179873e-02
2.034181e+05, 3.559990e-01, -3.724094e-02
2.696861e+05, 3.505202e-01, -3.449894e-02
3.575525e+05, 3.411373e-01, -3.228719e-02
4.739878e+05, 3.365361e-01, -2.802669e-02
6.285148e+05, 3.285848e-01, -2.468961e-02
