EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0445179
omega, real, im
6.293263e-01, 5.726079e-01, -9.167700e-02
8.324402e-01, 5.607017e-01, -7.758091e-02
1.106767e+00, 5.496069e-01, -6.551386e-02
1.465296e+00, 5.443824e-01, -5.588552e-02
1.947914e+00, 5.386837e-01, -4.846660e-02
2.563042e+00, 5.342935e-01, -4.146412e-02
3.424066e+00, 5.299682e-01, -3.630083e-02
4.530037e+00, 5.254183e-01, -3.115935e-02
5.992113e+00, 5.226005e-01, -2.817527e-02
7.927565e+00, 5.195419e-01, -2.533771e-02
1.057009e+01, 5.171794e-01, -2.359279e-02
1.391364e+01, 5.148171e-01, -2.286330e-02
1.845393e+01, 5.127526e-01, -2.363690e-02
2.454369e+01, 5.093400e-01, -2.396535e-02
3.255131e+01, 5.065409e-01, -2.500187e-02
4.321071e+01, 5.046834e-01, -2.867599e-02
5.721156e+01, 5.036426e-01, -2.973403e-02
7.575201e+01, 4.973944e-01, -3.721378e-02
1.005888e+02, 4.901499e-01, -4.562617e-02
1.333896e+02, 4.822546e-01, -5.206180e-02
1.765735e+02, 4.717770e-01, -5.954138e-02
2.340678e+02, 4.603090e-01, -6.602020e-02
3.106798e+02, 4.428882e-01, -7.228884e-02
4.111698e+02, 4.262065e-01, -7.627732e-02
5.461295e+02, 4.117246e-01, -7.913641e-02
7.237254e+02, 3.941589e-01, -7.728148e-02
9.582557e+02, 3.787290e-01, -7.660671e-02
1.271695e+03, 3.624046e-01, -7.577481e-02
1.686208e+03, 3.518242e-01, -7.428427e-02
2.234103e+03, 3.373120e-01, -7.190322e-02
2.965431e+03, 3.245521e-01, -7.133222e-02
3.923223e+03, 3.100249e-01, -7.183830e-02
5.210048e+03, 2.968978e-01, -6.753325e-02
6.904879e+03, 2.862692e-01, -6.541684e-02
9.156696e+03, 2.724865e-01, -6.282394e-02
1.214596e+04, 2.614093e-01, -6.087682e-02
1.613231e+04, 2.500234e-01, -5.760079e-02
2.131095e+04, 2.397257e-01, -5.684565e-02
2.827860e+04, 2.302073e-01, -4.979240e-02
3.747491e+04, 2.218718e-01, -4.709693e-02
4.976918e+04, 2.116826e-01, -4.385399e-02
6.585677e+04, 2.030568e-01, -3.991567e-02
8.743691e+04, 1.987657e-01, -3.469248e-02
1.157480e+05, 1.910976e-01, -3.305428e-02
1.534472e+05, 1.853517e-01, -3.080732e-02
2.034181e+05, 1.812142e-01, -2.582401e-02
2.696861e+05, 1.766221e-01, -2.215379e-02
3.575525e+05, 1.736714e-01, -1.996066e-02
4.739878e+05, 1.665379e-01, -1.731431e-02
6.285148e+05, 1.661143e-01, -1.100099e-02
