EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0417033
omega, real, im
6.293263e-01, 1.372504e+00, -2.025989e-01
8.324402e-01, 1.355270e+00, -1.731603e-01
1.106767e+00, 1.338382e+00, -1.506823e-01
1.465296e+00, 1.326370e+00, -1.361249e-01
1.947914e+00, 1.312509e+00, -1.269645e-01
2.563042e+00, 1.300792e+00, -1.220703e-01
3.424066e+00, 1.286470e+00, -1.231951e-01
4.530037e+00, 1.272653e+00, -1.271393e-01
5.992113e+00, 1.255830e+00, -1.364408e-01
7.927565e+00, 1.235998e+00, -1.488086e-01
1.057009e+01, 1.211165e+00, -1.664694e-01
1.391364e+01, 1.180151e+00, -1.843300e-01
1.845393e+01, 1.139992e+00, -2.030606e-01
2.454369e+01, 1.092183e+00, -2.139539e-01
3.255131e+01, 1.038973e+00, -2.196393e-01
4.321071e+01, 9.877743e-01, -2.116441e-01
5.721156e+01, 9.459419e-01, -2.002187e-01
7.575201e+01, 9.029498e-01, -1.780993e-01
1.005888e+02, 8.730311e-01, -1.612465e-01
1.333896e+02, 8.510610e-01, -1.451904e-01
1.765735e+02, 8.298891e-01, -1.311447e-01
2.340678e+02, 8.120448e-01, -1.265015e-01
3.106798e+02, 7.915860e-01, -1.190865e-01
4.111698e+02, 7.717323e-01, -1.130362e-01
5.461295e+02, 7.544808e-01, -1.124787e-01
7.237254e+02, 7.361396e-01, -1.066565e-01
9.582557e+02, 7.152126e-01, -1.039178e-01
1.271695e+03, 6.977978e-01, -9.979861e-02
1.686208e+03, 6.810114e-01, -9.632216e-02
2.234103e+03, 6.630308e-01, -9.103359e-02
2.965431e+03, 6.452261e-01, -8.568534e-02
3.923223e+03, 6.319532e-01, -8.602956e-02
5.210048e+03, 6.155607e-01, -7.870679e-02
6.904879e+03, 6.034786e-01, -7.520962e-02
9.156696e+03, 5.898502e-01, -7.037847e-02
1.214596e+04, 5.769302e-01, -6.576581e-02
1.613231e+04, 5.679429e-01, -6.162862e-02
2.131095e+04, 5.558347e-01, -5.690046e-02
2.827860e+04, 5.460649e-01, -5.403427e-02
3.747491e+04, 5.364997e-01, -5.332560e-02
4.976918e+04, 5.273868e-01, -4.747577e-02
6.585677e+04, 5.197865e-01, -4.399976e-02
8.743691e+04, 5.112482e-01, -3.971446e-02
1.157480e+05, 5.065749e-01, -3.864345e-02
1.534472e+05, 4.966532e-01, -3.260721e-02
2.034181e+05, 4.942068e-01, -3.538209e-02
2.696861e+05, 4.851447e-01, -3.067120e-02
3.575525e+05, 4.817269e-01, -2.502705e-02
4.739878e+05, 4.762714e-01, -2.288966e-02
6.285148e+05, 4.709032e-01, -1.954695e-02
