EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0364799
omega, real, im
6.293263e-01, 1.273624e+00, -3.159235e-01
8.324402e-01, 1.260531e+00, -2.674217e-01
1.106767e+00, 1.243389e+00, -2.303267e-01
1.465296e+00, 1.221351e+00, -2.087291e-01
1.947914e+00, 1.196770e+00, -1.919292e-01
2.563042e+00, 1.174317e+00, -1.815416e-01
3.424066e+00, 1.150704e+00, -1.751870e-01
4.530037e+00, 1.128850e+00, -1.744107e-01
5.992113e+00, 1.102932e+00, -1.778974e-01
7.927565e+00, 1.076763e+00, -1.846042e-01
1.057009e+01, 1.043104e+00, -1.940606e-01
1.391364e+01, 1.009129e+00, -2.030134e-01
1.845393e+01, 9.663369e-01, -2.116056e-01
2.454369e+01, 9.204821e-01, -2.154069e-01
3.255131e+01, 8.693260e-01, -2.130332e-01
4.321071e+01, 8.242986e-01, -2.019149e-01
5.721156e+01, 7.836449e-01, -1.853720e-01
7.575201e+01, 7.493972e-01, -1.636214e-01
1.005888e+02, 7.226689e-01, -1.448124e-01
1.333896e+02, 7.023672e-01, -1.290486e-01
1.765735e+02, 6.869383e-01, -1.172535e-01
2.340678e+02, 6.700942e-01, -1.082234e-01
3.106798e+02, 6.545896e-01, -1.005810e-01
4.111698e+02, 6.383773e-01, -9.583934e-02
5.461295e+02, 6.217156e-01, -9.062585e-02
7.237254e+02, 6.094030e-01, -8.512107e-02
9.582557e+02, 5.938185e-01, -8.199206e-02
1.271695e+03, 5.793857e-01, -7.968882e-02
1.686208e+03, 5.672791e-01, -7.545342e-02
2.234103e+03, 5.522280e-01, -7.248007e-02
2.965431e+03, 5.398787e-01, -6.974299e-02
3.923223e+03, 5.289393e-01, -6.552895e-02
5.210048e+03, 5.182003e-01, -6.209927e-02
6.904879e+03, 5.078836e-01, -5.822648e-02
9.156696e+03, 4.966485e-01, -5.511749e-02
1.214596e+04, 4.881720e-01, -5.194075e-02
1.613231e+04, 4.781184e-01, -4.796585e-02
2.131095e+04, 4.699076e-01, -4.556748e-02
2.827860e+04, 4.636528e-01, -4.478554e-02
3.747491e+04, 4.554275e-01, -4.266010e-02
4.976918e+04, 4.497108e-01, -4.052704e-02
6.585677e+04, 4.427454e-01, -3.875306e-02
8.743691e+04, 4.357906e-01, -3.739732e-02
1.157480e+05, 4.288763e-01, -3.512398e-02
1.534472e+05, 4.223751e-01, -3.501448e-02
2.034181e+05, 4.159306e-01, -3.152268e-02
2.696861e+05, 4.098548e-01, -3.036116e-02
3.575525e+05, 4.029646e-01, -2.928483e-02
4.739878e+05, 3.973846e-01, -2.659244e-02
6.285148e+05, 3.893505e-01, -2.352685e-02
