EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0386884
omega, real, im
6.293263e-01, 9.226822e-01, -1.967380e-01
8.324402e-01, 9.067298e-01, -1.650986e-01
1.106767e+00, 8.911304e-01, -1.406153e-01
1.465296e+00, 8.802625e-01, -1.228302e-01
1.947914e+00, 8.677710e-01, -1.101243e-01
2.563042e+00, 8.577733e-01, -1.003652e-01
3.424066e+00, 8.469378e-01, -9.548448e-02
4.530037e+00, 8.358818e-01, -9.260117e-02
5.992113e+00, 8.244139e-01, -9.407675e-02
7.927565e+00, 8.123399e-01, -9.702301e-02
1.057009e+01, 7.986051e-01, -1.044297e-01
1.391364e+01, 7.823778e-01, -1.130135e-01
1.845393e+01, 7.629785e-01, -1.245274e-01
2.454369e+01, 7.381352e-01, -1.361397e-01
3.255131e+01, 7.071472e-01, -1.472387e-01
4.321071e+01, 6.720986e-01, -1.512321e-01
5.721156e+01, 6.376842e-01, -1.509821e-01
7.575201e+01, 6.040176e-01, -1.460455e-01
1.005888e+02, 5.753134e-01, -1.371586e-01
1.333896e+02, 5.507884e-01, -1.247824e-01
1.765735e+02, 5.298229e-01, -1.127085e-01
2.340678e+02, 5.120081e-01, -1.051875e-01
3.106798e+02, 4.940687e-01, -9.759293e-02
4.111698e+02, 4.807121e-01, -9.187778e-02
5.461295e+02, 4.642432e-01, -8.580661e-02
7.237254e+02, 4.503500e-01, -8.084363e-02
9.582557e+02, 4.381922e-01, -7.628303e-02
1.271695e+03, 4.240216e-01, -7.284059e-02
1.686208e+03, 4.130780e-01, -7.035743e-02
2.234103e+03, 4.011165e-01, -6.714761e-02
2.965431e+03, 3.893536e-01, -6.301033e-02
3.923223e+03, 3.798949e-01, -6.082555e-02
5.210048e+03, 3.683591e-01, -5.738723e-02
6.904879e+03, 3.587047e-01, -5.412645e-02
9.156696e+03, 3.485364e-01, -5.092064e-02
1.214596e+04, 3.405794e-01, -4.965699e-02
1.613231e+04, 3.323718e-01, -4.629258e-02
2.131095e+04, 3.243984e-01, -4.391159e-02
2.827860e+04, 3.177018e-01, -4.109795e-02
3.747491e+04, 3.104258e-01, -3.975501e-02
4.976918e+04, 3.039505e-01, -3.669720e-02
6.585677e+04, 2.968892e-01, -3.577358e-02
8.743691e+04, 2.926818e-01, -3.468551e-02
1.157480e+05, 2.860219e-01, -3.266276e-02
1.534472e+05, 2.796207e-01, -3.105721e-02
2.034181e+05, 2.755237e-01, -2.980831e-02
2.696861e+05, 2.690959e-01, -2.867708e-02
3.575525e+05, 2.646749e-01, -2.778982e-02
4.739878e+05, 2.591096e-01, -2.668304e-02
6.285148e+05, 2.528363e-01, -2.540851e-02
