EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0390772
omega, real, im
6.293263e-01, 1.385811e+00, -1.678291e-01
8.324402e-01, 1.362125e+00, -1.510886e-01
1.106767e+00, 1.339479e+00, -1.427722e-01
1.465296e+00, 1.316533e+00, -1.389639e-01
1.947914e+00, 1.296266e+00, -1.368663e-01
2.563042e+00, 1.275828e+00, -1.392545e-01
3.424066e+00, 1.253488e+00, -1.413230e-01
4.530037e+00, 1.232209e+00, -1.489431e-01
5.992113e+00, 1.207977e+00, -1.574812e-01
7.927565e+00, 1.182585e+00, -1.696751e-01
1.057009e+01, 1.150020e+00, -1.840140e-01
1.391364e+01, 1.116992e+00, -1.988133e-01
1.845393e+01, 1.073789e+00, -2.124365e-01
2.454369e+01, 1.023868e+00, -2.233126e-01
3.255131e+01, 9.753180e-01, -2.218074e-01
4.321071e+01, 9.245020e-01, -2.188357e-01
5.721156e+01, 8.805857e-01, -2.074529e-01
7.575201e+01, 8.397117e-01, -1.867478e-01
1.005888e+02, 8.076138e-01, -1.748483e-01
1.333896e+02, 7.781338e-01, -1.622726e-01
1.765735e+02, 7.565734e-01, -1.499931e-01
2.340678e+02, 7.304946e-01, -1.430520e-01
3.106798e+02, 7.089149e-01, -1.396732e-01
4.111698e+02, 6.847082e-01, -1.331967e-01
5.461295e+02, 6.636775e-01, -1.246321e-01
7.237254e+02, 6.432923e-01, -1.209154e-01
9.582557e+02, 6.242676e-01, -1.171902e-01
1.271695e+03, 6.020530e-01, -1.141496e-01
1.686208e+03, 5.811673e-01, -1.128754e-01
2.234103e+03, 5.602497e-01, -1.085182e-01
2.965431e+03, 5.413251e-01, -1.027828e-01
3.923223e+03, 5.230884e-01, -9.944537e-02
5.210048e+03, 5.035794e-01, -9.408216e-02
6.904879e+03, 4.885141e-01, -9.019276e-02
9.156696e+03, 4.738668e-01, -8.911569e-02
1.214596e+04, 4.572905e-01, -8.085501e-02
1.613231e+04, 4.446881e-01, -7.591403e-02
2.131095e+04, 4.298570e-01, -7.044343e-02
2.827860e+04, 4.197483e-01, -6.633215e-02
3.747491e+04, 4.085878e-01, -6.444209e-02
4.976918e+04, 3.946971e-01, -6.282357e-02
6.585677e+04, 3.859271e-01, -5.655046e-02
8.743691e+04, 3.740336e-01, -5.195609e-02
1.157480e+05, 3.665405e-01, -5.050978e-02
1.534472e+05, 3.574785e-01, -4.701869e-02
2.034181e+05, 3.489650e-01, -4.034424e-02
2.696861e+05, 3.418203e-01, -3.745090e-02
3.575525e+05, 3.338206e-01, -2.975639e-02
4.739878e+05, 3.272480e-01, -2.673357e-02
6.285148e+05, 3.214074e-01, -2.470813e-02
