EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0364703
omega, real, im
6.293263e-01, 9.851680e-01, -4.007921e-01
8.324402e-01, 9.352486e-01, -2.841803e-01
1.106767e+00, 9.439545e-01, -2.008630e-01
1.465296e+00, 9.578354e-01, -1.772302e-01
1.947914e+00, 9.384614e-01, -1.707678e-01
2.563042e+00, 9.099051e-01, -1.523746e-01
3.424066e+00, 8.918697e-01, -1.278982e-01
4.530037e+00, 8.862975e-01, -1.148488e-01
5.992113e+00, 8.741513e-01, -1.151226e-01
7.927565e+00, 8.558712e-01, -1.140069e-01
1.057009e+01, 8.378050e-01, -1.116850e-01
1.391364e+01, 8.234330e-01, -1.098800e-01
1.845393e+01, 8.072132e-01, -1.149644e-01
2.454369e+01, 7.849804e-01, -1.192916e-01
3.255131e+01, 7.610490e-01, -1.236236e-01
4.321071e+01, 7.379756e-01, -1.239280e-01
5.721156e+01, 7.111754e-01, -1.249388e-01
7.575201e+01, 6.836727e-01, -1.223437e-01
1.005888e+02, 6.587909e-01, -1.143954e-01
1.333896e+02, 6.375780e-01, -1.058193e-01
1.765735e+02, 6.205081e-01, -9.807831e-02
2.340678e+02, 6.044828e-01, -8.923624e-02
3.106798e+02, 5.894626e-01, -8.242064e-02
4.111698e+02, 5.748268e-01, -7.602677e-02
5.461295e+02, 5.640424e-01, -7.025578e-02
7.237254e+02, 5.527860e-01, -6.697978e-02
9.582557e+02, 5.410221e-01, -6.140062e-02
1.271695e+03, 5.313534e-01, -5.743453e-02
1.686208e+03, 5.225782e-01, -5.404243e-02
2.234103e+03, 5.153891e-01, -5.233826e-02
2.965431e+03, 5.046695e-01, -4.866345e-02
3.923223e+03, 4.979214e-01, -4.677610e-02
5.210048e+03, 4.899443e-01, -4.472018e-02
6.904879e+03, 4.822017e-01, -4.323036e-02
9.156696e+03, 4.751717e-01, -4.158062e-02
1.214596e+04, 4.678912e-01, -3.904956e-02
1.613231e+04, 4.602182e-01, -3.562269e-02
2.131095e+04, 4.548904e-01, -3.554777e-02
2.827860e+04, 4.492046e-01, -3.312610e-02
3.747491e+04, 4.443945e-01, -3.077749e-02
4.976918e+04, 4.385346e-01, -3.024197e-02
6.585677e+04, 4.335834e-01, -2.905700e-02
8.743691e+04, 4.289613e-01, -2.819110e-02
1.157480e+05, 4.244291e-01, -2.834394e-02
1.534472e+05, 4.197092e-01, -2.661689e-02
2.034181e+05, 4.121605e-01, -2.498552e-02
2.696861e+05, 4.071062e-01, -2.535613e-02
3.575525e+05, 4.030985e-01, -2.297578e-02
4.739878e+05, 3.976205e-01, -2.173473e-02
6.285148e+05, 3.913867e-01, -1.952239e-02
