EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0386465
omega, real, im
6.293263e-01, 1.100713e+00, -2.441853e-01
8.324402e-01, 1.079315e+00, -2.035500e-01
1.106767e+00, 1.061336e+00, -1.715879e-01
1.465296e+00, 1.046705e+00, -1.500534e-01
1.947914e+00, 1.032039e+00, -1.326489e-01
2.563042e+00, 1.020422e+00, -1.212605e-01
3.424066e+00, 1.006942e+00, -1.136013e-01
4.530037e+00, 9.957553e-01, -1.097512e-01
5.992113e+00, 9.823219e-01, -1.110254e-01
7.927565e+00, 9.686893e-01, -1.150278e-01
1.057009e+01, 9.520972e-01, -1.232111e-01
1.391364e+01, 9.331263e-01, -1.332461e-01
1.845393e+01, 9.085138e-01, -1.471483e-01
2.454369e+01, 8.755745e-01, -1.601956e-01
3.255131e+01, 8.417042e-01, -1.700323e-01
4.321071e+01, 8.020418e-01, -1.734257e-01
5.721156e+01, 7.608660e-01, -1.655549e-01
7.575201e+01, 7.238927e-01, -1.600634e-01
1.005888e+02, 6.955365e-01, -1.468781e-01
1.333896e+02, 6.692852e-01, -1.336838e-01
1.765735e+02, 6.487044e-01, -1.222190e-01
2.340678e+02, 6.297051e-01, -1.126411e-01
3.106798e+02, 6.123896e-01, -1.050409e-01
4.111698e+02, 5.941989e-01, -9.926844e-02
5.461295e+02, 5.798637e-01, -9.405167e-02
7.237254e+02, 5.635502e-01, -8.815990e-02
9.582557e+02, 5.491947e-01, -8.368694e-02
1.271695e+03, 5.354920e-01, -8.139607e-02
1.686208e+03, 5.196874e-01, -7.737629e-02
2.234103e+03, 5.078431e-01, -7.414564e-02
2.965431e+03, 4.946218e-01, -7.073589e-02
3.923223e+03, 4.830732e-01, -6.780339e-02
5.210048e+03, 4.711701e-01, -6.354386e-02
6.904879e+03, 4.597239e-01, -5.983277e-02
9.156696e+03, 4.505662e-01, -5.726621e-02
1.214596e+04, 4.406234e-01, -5.437439e-02
1.613231e+04, 4.315712e-01, -5.140258e-02
2.131095e+04, 4.229442e-01, -4.799967e-02
2.827860e+04, 4.148236e-01, -4.513398e-02
3.747491e+04, 4.066516e-01, -4.188622e-02
4.976918e+04, 3.993215e-01, -3.987588e-02
6.585677e+04, 3.928228e-01, -3.829027e-02
8.743691e+04, 3.864357e-01, -3.533057e-02
1.157480e+05, 3.789683e-01, -3.419069e-02
1.534472e+05, 3.745559e-01, -3.185748e-02
2.034181e+05, 3.693120e-01, -2.868904e-02
2.696861e+05, 3.629040e-01, -2.760393e-02
3.575525e+05, 3.581355e-01, -2.491282e-02
4.739878e+05, 3.520413e-01, -2.308376e-02
6.285148e+05, 3.465567e-01, -1.975414e-02
