EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0445179
omega, real, im
6.293263e-01, 4.559416e-01, -8.365376e-02
8.324402e-01, 4.487500e-01, -7.060056e-02
1.106767e+00, 4.417616e-01, -6.013754e-02
1.465296e+00, 4.323129e-01, -5.242559e-02
1.947914e+00, 4.246508e-01, -4.463131e-02
2.563042e+00, 4.185974e-01, -3.924939e-02
3.424066e+00, 4.129108e-01, -3.331534e-02
4.530037e+00, 4.096974e-01, -2.924185e-02
5.992113e+00, 4.057432e-01, -2.527529e-02
7.927565e+00, 4.036503e-01, -2.214999e-02
1.057009e+01, 4.009250e-01, -2.006039e-02
1.391364e+01, 3.985896e-01, -1.851689e-02
1.845393e+01, 3.968795e-01, -1.817962e-02
2.454369e+01, 3.945741e-01, -1.711136e-02
3.255131e+01, 3.920332e-01, -1.479881e-02
4.321071e+01, 3.927106e-01, -1.880003e-02
5.721156e+01, 3.846293e-01, -2.179388e-02
7.575201e+01, 3.867894e-01, -2.268768e-02
1.005888e+02, 3.854823e-01, -2.595804e-02
1.333896e+02, 3.811605e-01, -3.006838e-02
1.765735e+02, 3.768584e-01, -3.620966e-02
2.340678e+02, 3.698631e-01, -3.964337e-02
3.106798e+02, 3.611413e-01, -4.385938e-02
4.111698e+02, 3.513223e-01, -5.069688e-02
5.461295e+02, 3.391081e-01, -5.522279e-02
7.237254e+02, 3.268349e-01, -5.525818e-02
9.582557e+02, 3.137396e-01, -5.566098e-02
1.271695e+03, 3.040293e-01, -5.195157e-02
1.686208e+03, 2.933720e-01, -5.209734e-02
2.234103e+03, 2.845151e-01, -4.930326e-02
2.965431e+03, 2.753091e-01, -4.875421e-02
3.923223e+03, 2.676668e-01, -4.776619e-02
5.210048e+03, 2.589712e-01, -4.653639e-02
6.904879e+03, 2.501808e-01, -4.519543e-02
9.156696e+03, 2.430760e-01, -4.505773e-02
1.214596e+04, 2.345878e-01, -4.320488e-02
1.613231e+04, 2.269179e-01, -4.303899e-02
2.131095e+04, 2.186898e-01, -4.047880e-02
2.827860e+04, 2.116670e-01, -3.825539e-02
3.747491e+04, 2.029607e-01, -3.621567e-02
4.976918e+04, 1.981498e-01, -3.357837e-02
6.585677e+04, 1.910890e-01, -3.176620e-02
8.743691e+04, 1.892535e-01, -2.761907e-02
1.157480e+05, 1.814169e-01, -2.712406e-02
1.534472e+05, 1.754707e-01, -2.583241e-02
2.034181e+05, 1.730315e-01, -2.167482e-02
2.696861e+05, 1.692586e-01, -1.881292e-02
3.575525e+05, 1.648407e-01, -1.750292e-02
4.739878e+05, 1.604537e-01, -1.258294e-02
6.285148e+05, 1.575036e-01, -9.053105e-03
