EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.041674
omega, real, im
6.293263e-01, 1.285349e+00, -2.126175e-01
8.324402e-01, 1.266860e+00, -1.789499e-01
1.106767e+00, 1.255338e+00, -1.571002e-01
1.465296e+00, 1.240580e+00, -1.423694e-01
1.947914e+00, 1.228498e+00, -1.311263e-01
2.563042e+00, 1.215539e+00, -1.263082e-01
3.424066e+00, 1.201280e+00, -1.239880e-01
4.530037e+00, 1.186831e+00, -1.282998e-01
5.992113e+00, 1.169422e+00, -1.347322e-01
7.927565e+00, 1.149126e+00, -1.465555e-01
1.057009e+01, 1.124627e+00, -1.608179e-01
1.391364e+01, 1.095665e+00, -1.772352e-01
1.845393e+01, 1.057637e+00, -1.929429e-01
2.454369e+01, 1.010383e+00, -2.058446e-01
3.255131e+01, 9.631342e-01, -2.095736e-01
4.321071e+01, 9.138054e-01, -2.057390e-01
5.721156e+01, 8.810770e-01, -1.971194e-01
7.575201e+01, 8.337545e-01, -1.754265e-01
1.005888e+02, 8.037559e-01, -1.550245e-01
1.333896e+02, 7.791598e-01, -1.406148e-01
1.765735e+02, 7.585773e-01, -1.296591e-01
2.340678e+02, 7.409257e-01, -1.217659e-01
3.106798e+02, 7.225490e-01, -1.141661e-01
4.111698e+02, 7.039602e-01, -1.097674e-01
5.461295e+02, 6.853717e-01, -1.037995e-01
7.237254e+02, 6.680202e-01, -9.893214e-02
9.582557e+02, 6.515405e-01, -9.484274e-02
1.271695e+03, 6.343303e-01, -9.377572e-02
1.686208e+03, 6.179970e-01, -8.781010e-02
2.234103e+03, 6.043326e-01, -8.556776e-02
2.965431e+03, 5.882522e-01, -8.396825e-02
3.923223e+03, 5.732324e-01, -7.817963e-02
5.210048e+03, 5.592180e-01, -7.512914e-02
6.904879e+03, 5.484878e-01, -7.015121e-02
9.156696e+03, 5.348374e-01, -6.611920e-02
1.214596e+04, 5.197917e-01, -6.434087e-02
1.613231e+04, 5.123429e-01, -5.907919e-02
2.131095e+04, 5.029959e-01, -5.611486e-02
2.827860e+04, 4.919635e-01, -5.208391e-02
3.747491e+04, 4.846806e-01, -4.965340e-02
4.976918e+04, 4.740001e-01, -4.545319e-02
6.585677e+04, 4.675400e-01, -4.139568e-02
8.743691e+04, 4.611262e-01, -3.944410e-02
1.157480e+05, 4.524342e-01, -3.753870e-02
1.534472e+05, 4.482178e-01, -3.346749e-02
2.034181e+05, 4.392540e-01, -3.246154e-02
2.696861e+05, 4.351149e-01, -2.907034e-02
3.575525e+05, 4.304405e-01, -2.505412e-02
4.739878e+05, 4.253186e-01, -2.379555e-02
6.285148e+05, 4.207476e-01, -1.943599e-02
