EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.042674
omega, real, im
6.293263e-01, 5.832409e-01, -9.557360e-02
8.324402e-01, 5.731531e-01, -7.943646e-02
1.106767e+00, 5.657052e-01, -6.724572e-02
1.465296e+00, 5.575272e-01, -5.871765e-02
1.947914e+00, 5.503612e-01, -4.992718e-02
2.563042e+00, 5.448379e-01, -4.422957e-02
3.424066e+00, 5.396243e-01, -3.852759e-02
4.530037e+00, 5.360916e-01, -3.448441e-02
5.992113e+00, 5.317409e-01, -3.138367e-02
7.927565e+00, 5.288116e-01, -2.962509e-02
1.057009e+01, 5.250618e-01, -2.829886e-02
1.391364e+01, 5.228352e-01, -2.816141e-02
1.845393e+01, 5.191244e-01, -2.939473e-02
2.454369e+01, 5.167158e-01, -3.131040e-02
3.255131e+01, 5.132715e-01, -3.537913e-02
4.321071e+01, 5.096548e-01, -4.017946e-02
5.721156e+01, 5.017720e-01, -4.614438e-02
7.575201e+01, 4.947987e-01, -5.156247e-02
1.005888e+02, 4.835669e-01, -6.018885e-02
1.333896e+02, 4.709891e-01, -6.898869e-02
1.765735e+02, 4.565504e-01, -7.646257e-02
2.340678e+02, 4.384824e-01, -8.029290e-02
3.106798e+02, 4.195826e-01, -8.093444e-02
4.111698e+02, 4.021783e-01, -8.012406e-02
5.461295e+02, 3.885570e-01, -7.802631e-02
7.237254e+02, 3.701478e-01, -7.653210e-02
9.582557e+02, 3.581397e-01, -7.036877e-02
1.271695e+03, 3.448091e-01, -6.878528e-02
1.686208e+03, 3.356396e-01, -6.498698e-02
2.234103e+03, 3.240877e-01, -6.627863e-02
2.965431e+03, 3.125361e-01, -6.172944e-02
3.923223e+03, 3.009168e-01, -6.068320e-02
5.210048e+03, 2.909266e-01, -5.809596e-02
6.904879e+03, 2.805620e-01, -5.652754e-02
9.156696e+03, 2.691455e-01, -5.514108e-02
1.214596e+04, 2.582421e-01, -5.433967e-02
1.613231e+04, 2.510001e-01, -5.183250e-02
2.131095e+04, 2.409316e-01, -4.910378e-02
2.827860e+04, 2.335072e-01, -4.556216e-02
3.747491e+04, 2.284849e-01, -4.439835e-02
4.976918e+04, 2.171653e-01, -4.103423e-02
6.585677e+04, 2.097420e-01, -3.831179e-02
8.743691e+04, 2.052240e-01, -3.773970e-02
1.157480e+05, 1.982315e-01, -3.582501e-02
1.534472e+05, 1.940959e-01, -3.286334e-02
2.034181e+05, 1.889714e-01, -3.206857e-02
2.696861e+05, 1.823341e-01, -3.059936e-02
3.575525e+05, 1.780124e-01, -3.178043e-02
4.739878e+05, 1.730480e-01, -2.946985e-02
6.285148e+05, 1.679610e-01, -3.255762e-02
