EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0399609
omega, real, im
6.293263e-01, 8.057272e-01, -1.035458e-01
8.324402e-01, 7.953634e-01, -8.693613e-02
1.106767e+00, 7.851530e-01, -7.363527e-02
1.465296e+00, 7.786852e-01, -6.252056e-02
1.947914e+00, 7.718849e-01, -5.488101e-02
2.563042e+00, 7.662958e-01, -4.833434e-02
3.424066e+00, 7.615049e-01, -4.404284e-02
4.530037e+00, 7.562250e-01, -4.079270e-02
5.992113e+00, 7.518624e-01, -3.954699e-02
7.927565e+00, 7.471437e-01, -3.911055e-02
1.057009e+01, 7.427935e-01, -3.963306e-02
1.391364e+01, 7.379155e-01, -4.213977e-02
1.845393e+01, 7.327304e-01, -4.564586e-02
2.454369e+01, 7.275014e-01, -5.046486e-02
3.255131e+01, 7.185062e-01, -5.708007e-02
4.321071e+01, 7.091934e-01, -6.438447e-02
5.721156e+01, 6.993088e-01, -7.402082e-02
7.575201e+01, 6.824138e-01, -8.319538e-02
1.005888e+02, 6.626483e-01, -8.978272e-02
1.333896e+02, 6.428052e-01, -9.581866e-02
1.765735e+02, 6.197041e-01, -9.823316e-02
2.340678e+02, 6.000199e-01, -9.661531e-02
3.106798e+02, 5.788999e-01, -9.050414e-02
4.111698e+02, 5.606416e-01, -8.780276e-02
5.461295e+02, 5.436343e-01, -8.054017e-02
7.237254e+02, 5.309082e-01, -7.548884e-02
9.582557e+02, 5.193634e-01, -7.114256e-02
1.271695e+03, 5.072750e-01, -6.502941e-02
1.686208e+03, 4.973869e-01, -6.185896e-02
2.234103e+03, 4.866234e-01, -5.965175e-02
2.965431e+03, 4.763030e-01, -5.698859e-02
3.923223e+03, 4.670268e-01, -5.459741e-02
5.210048e+03, 4.565111e-01, -5.181595e-02
6.904879e+03, 4.499673e-01, -4.961337e-02
9.156696e+03, 4.408098e-01, -5.003829e-02
1.214596e+04, 4.290664e-01, -4.696820e-02
1.613231e+04, 4.227488e-01, -4.613884e-02
2.131095e+04, 4.148673e-01, -4.205426e-02
2.827860e+04, 4.073601e-01, -4.189962e-02
3.747491e+04, 4.002401e-01, -3.980300e-02
4.976918e+04, 3.936594e-01, -3.646695e-02
6.585677e+04, 3.869183e-01, -3.396489e-02
8.743691e+04, 3.795077e-01, -3.298622e-02
1.157480e+05, 3.725894e-01, -3.004657e-02
1.534472e+05, 3.688406e-01, -2.928999e-02
2.034181e+05, 3.645425e-01, -2.797807e-02
2.696861e+05, 3.566030e-01, -2.473176e-02
3.575525e+05, 3.530316e-01, -2.255518e-02
4.739878e+05, 3.485474e-01, -2.028175e-02
6.285148e+05, 3.431556e-01, -1.642504e-02
