EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0398808
omega, real, im
6.293263e-01, 2.290234e+00, -4.999839e-01
8.324402e-01, 2.249020e+00, -4.850993e-01
1.106767e+00, 2.195954e+00, -4.797727e-01
1.465296e+00, 2.140471e+00, -4.856767e-01
1.947914e+00, 2.065328e+00, -5.012740e-01
2.563042e+00, 1.990555e+00, -5.175641e-01
3.424066e+00, 1.898552e+00, -5.500688e-01
4.530037e+00, 1.794228e+00, -5.769216e-01
5.992113e+00, 1.673652e+00, -6.053028e-01
7.927565e+00, 1.536867e+00, -6.110095e-01
1.057009e+01, 1.393796e+00, -6.042861e-01
1.391364e+01, 1.255296e+00, -5.623511e-01
1.845393e+01, 1.142456e+00, -5.081375e-01
2.454369e+01, 1.041426e+00, -4.325837e-01
3.255131e+01, 9.828061e-01, -3.697198e-01
4.321071e+01, 9.321764e-01, -3.056359e-01
5.721156e+01, 8.939669e-01, -2.635864e-01
7.575201e+01, 8.670875e-01, -2.286709e-01
1.005888e+02, 8.459414e-01, -2.071509e-01
1.333896e+02, 8.244599e-01, -1.896833e-01
1.765735e+02, 7.989438e-01, -1.790341e-01
2.340678e+02, 7.731746e-01, -1.736905e-01
3.106798e+02, 7.455723e-01, -1.693714e-01
4.111698e+02, 7.135571e-01, -1.650321e-01
5.461295e+02, 6.846675e-01, -1.617268e-01
7.237254e+02, 6.557699e-01, -1.541187e-01
9.582557e+02, 6.271111e-01, -1.494357e-01
1.271695e+03, 6.014464e-01, -1.407169e-01
1.686208e+03, 5.766445e-01, -1.340819e-01
2.234103e+03, 5.524865e-01, -1.272315e-01
2.965431e+03, 5.296105e-01, -1.190603e-01
3.923223e+03, 5.104070e-01, -1.120963e-01
5.210048e+03, 4.924988e-01, -1.044160e-01
6.904879e+03, 4.747835e-01, -9.659442e-02
9.156696e+03, 4.579704e-01, -9.101097e-02
1.214596e+04, 4.424965e-01, -8.561952e-02
1.613231e+04, 4.269125e-01, -7.996622e-02
2.131095e+04, 4.163007e-01, -7.452085e-02
2.827860e+04, 4.026045e-01, -6.970220e-02
3.747491e+04, 3.907961e-01, -6.462938e-02
4.976918e+04, 3.801949e-01, -6.174265e-02
6.585677e+04, 3.693863e-01, -5.652243e-02
8.743691e+04, 3.589844e-01, -5.232448e-02
1.157480e+05, 3.504753e-01, -5.087104e-02
1.534472e+05, 3.416133e-01, -4.516804e-02
2.034181e+05, 3.315471e-01, -4.118341e-02
2.696861e+05, 3.268572e-01, -3.856638e-02
3.575525e+05, 3.190099e-01, -3.276652e-02
4.739878e+05, 3.124733e-01, -2.991455e-02
6.285148e+05, 3.043242e-01, -2.458382e-02
