EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0437731
omega, real, im
6.293263e-01, 1.124674e+00, -1.120698e-01
8.324402e-01, 1.112074e+00, -9.389979e-02
1.106767e+00, 1.100797e+00, -7.874625e-02
1.465296e+00, 1.092940e+00, -6.838226e-02
1.947914e+00, 1.084405e+00, -6.076747e-02
2.563042e+00, 1.078295e+00, -5.487020e-02
3.424066e+00, 1.071936e+00, -5.145742e-02
4.530037e+00, 1.066716e+00, -4.896761e-02
5.992113e+00, 1.061337e+00, -4.967685e-02
7.927565e+00, 1.054847e+00, -5.032340e-02
1.057009e+01, 1.049504e+00, -5.404270e-02
1.391364e+01, 1.043078e+00, -5.848898e-02
1.845393e+01, 1.035292e+00, -6.470510e-02
2.454369e+01, 1.024069e+00, -7.409889e-02
3.255131e+01, 1.014199e+00, -8.525222e-02
4.321071e+01, 9.989179e-01, -9.586824e-02
5.721156e+01, 9.820564e-01, -1.074894e-01
7.575201e+01, 9.552298e-01, -1.190388e-01
1.005888e+02, 9.273245e-01, -1.305789e-01
1.333896e+02, 9.015859e-01, -1.314418e-01
1.765735e+02, 8.710847e-01, -1.314041e-01
2.340678e+02, 8.464143e-01, -1.320090e-01
3.106798e+02, 8.188862e-01, -1.286399e-01
4.111698e+02, 7.963865e-01, -1.265766e-01
5.461295e+02, 7.726849e-01, -1.219595e-01
7.237254e+02, 7.519491e-01, -1.191704e-01
9.582557e+02, 7.314864e-01, -1.173067e-01
1.271695e+03, 7.094358e-01, -1.132864e-01
1.686208e+03, 6.898464e-01, -1.113710e-01
2.234103e+03, 6.688889e-01, -1.076339e-01
2.965431e+03, 6.488442e-01, -1.027000e-01
3.923223e+03, 6.306326e-01, -9.951604e-02
5.210048e+03, 6.140873e-01, -9.423623e-02
6.904879e+03, 5.970367e-01, -8.840693e-02
9.156696e+03, 5.808855e-01, -8.422680e-02
1.214596e+04, 5.660856e-01, -7.955682e-02
1.613231e+04, 5.520802e-01, -7.506775e-02
2.131095e+04, 5.415720e-01, -6.848798e-02
2.827860e+04, 5.264457e-01, -6.593529e-02
3.747491e+04, 5.155183e-01, -6.028163e-02
4.976918e+04, 5.049455e-01, -5.601725e-02
6.585677e+04, 4.958130e-01, -5.218045e-02
8.743691e+04, 4.856949e-01, -4.565804e-02
1.157480e+05, 4.789960e-01, -4.225345e-02
1.534472e+05, 4.727868e-01, -3.848478e-02
2.034181e+05, 4.673364e-01, -3.463036e-02
2.696861e+05, 4.601920e-01, -3.008333e-02
3.575525e+05, 4.547583e-01, -2.592193e-02
4.739878e+05, 4.508777e-01, -2.244248e-02
6.285148e+05, 4.460922e-01, -1.941977e-02
