EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0416443
omega, real, im
6.293263e-01, 8.783406e-01, -1.033652e-01
8.324402e-01, 8.682832e-01, -8.526970e-02
1.106767e+00, 8.604933e-01, -7.296349e-02
1.465296e+00, 8.523666e-01, -6.218210e-02
1.947914e+00, 8.472914e-01, -5.401766e-02
2.563042e+00, 8.414856e-01, -4.842840e-02
3.424066e+00, 8.368604e-01, -4.353058e-02
4.530037e+00, 8.325244e-01, -4.145565e-02
5.992113e+00, 8.277287e-01, -4.003002e-02
7.927565e+00, 8.226099e-01, -4.106607e-02
1.057009e+01, 8.182939e-01, -4.230946e-02
1.391364e+01, 8.132381e-01, -4.526282e-02
1.845393e+01, 8.074220e-01, -4.969998e-02
2.454369e+01, 8.010011e-01, -5.779793e-02
3.255131e+01, 7.921405e-01, -6.282824e-02
4.321071e+01, 7.793905e-01, -7.119475e-02
5.721156e+01, 7.557616e-01, -8.910666e-02
7.575201e+01, 7.487714e-01, -8.958071e-02
1.005888e+02, 7.275847e-01, -9.859641e-02
1.333896e+02, 7.068079e-01, -1.027887e-01
1.765735e+02, 6.817573e-01, -1.038200e-01
2.340678e+02, 6.590139e-01, -1.022412e-01
3.106798e+02, 6.399556e-01, -9.667007e-02
4.111698e+02, 6.201261e-01, -9.247252e-02
5.461295e+02, 6.045884e-01, -8.820584e-02
7.237254e+02, 5.900012e-01, -8.153613e-02
9.582557e+02, 5.751289e-01, -7.944017e-02
1.271695e+03, 5.625956e-01, -7.558911e-02
1.686208e+03, 5.510980e-01, -7.206883e-02
2.234103e+03, 5.393459e-01, -6.980368e-02
2.965431e+03, 5.266140e-01, -6.708150e-02
3.923223e+03, 5.129890e-01, -6.525882e-02
5.210048e+03, 5.042737e-01, -6.355068e-02
6.904879e+03, 4.904665e-01, -6.206734e-02
9.156696e+03, 4.830238e-01, -5.937028e-02
1.214596e+04, 4.705466e-01, -5.432807e-02
1.613231e+04, 4.599883e-01, -5.323228e-02
2.131095e+04, 4.510535e-01, -5.180651e-02
2.827860e+04, 4.411476e-01, -4.765619e-02
3.747491e+04, 4.322306e-01, -4.539041e-02
4.976918e+04, 4.256319e-01, -4.272195e-02
6.585677e+04, 4.164862e-01, -4.117308e-02
8.743691e+04, 4.108956e-01, -3.853416e-02
1.157480e+05, 4.042793e-01, -3.432530e-02
1.534472e+05, 3.981076e-01, -3.286478e-02
2.034181e+05, 3.920810e-01, -2.968534e-02
2.696861e+05, 3.884203e-01, -2.549711e-02
3.575525e+05, 3.817966e-01, -2.423721e-02
4.739878e+05, 3.782181e-01, -2.008864e-02
6.285148e+05, 3.721048e-01, -1.832645e-02
