EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0410718
omega, real, im
6.293263e-01, 1.553638e+00, -1.896803e-01
8.324402e-01, 1.529401e+00, -1.671572e-01
1.106767e+00, 1.512472e+00, -1.548280e-01
1.465296e+00, 1.493939e+00, -1.512356e-01
1.947914e+00, 1.477124e+00, -1.494433e-01
2.563042e+00, 1.461349e+00, -1.550846e-01
3.424066e+00, 1.441260e+00, -1.641455e-01
4.530037e+00, 1.420374e+00, -1.793216e-01
5.992113e+00, 1.392561e+00, -1.992372e-01
7.927565e+00, 1.358663e+00, -2.239821e-01
1.057009e+01, 1.312102e+00, -2.501845e-01
1.391364e+01, 1.258359e+00, -2.729947e-01
1.845393e+01, 1.190623e+00, -2.879049e-01
2.454369e+01, 1.117155e+00, -2.898225e-01
3.255131e+01, 1.049157e+00, -2.731855e-01
4.321071e+01, 9.933932e-01, -2.529239e-01
5.721156e+01, 9.524490e-01, -2.196293e-01
7.575201e+01, 9.118769e-01, -1.970601e-01
1.005888e+02, 8.833648e-01, -1.737669e-01
1.333896e+02, 8.597581e-01, -1.590273e-01
1.765735e+02, 8.411974e-01, -1.475610e-01
2.340678e+02, 8.194315e-01, -1.405867e-01
3.106798e+02, 7.969322e-01, -1.329027e-01
4.111698e+02, 7.756029e-01, -1.284939e-01
5.461295e+02, 7.540339e-01, -1.255194e-01
7.237254e+02, 7.332656e-01, -1.211406e-01
9.582557e+02, 7.124979e-01, -1.180372e-01
1.271695e+03, 6.919925e-01, -1.126241e-01
1.686208e+03, 6.708337e-01, -1.082550e-01
2.234103e+03, 6.531454e-01, -1.027462e-01
2.965431e+03, 6.334233e-01, -9.966844e-02
3.923223e+03, 6.163463e-01, -9.439670e-02
5.210048e+03, 6.012902e-01, -8.769037e-02
6.904879e+03, 5.849326e-01, -8.322547e-02
9.156696e+03, 5.700032e-01, -8.020004e-02
1.214596e+04, 5.568404e-01, -7.495077e-02
1.613231e+04, 5.445431e-01, -7.002965e-02
2.131095e+04, 5.313638e-01, -6.679016e-02
2.827860e+04, 5.211906e-01, -6.111769e-02
3.747491e+04, 5.096858e-01, -5.832231e-02
4.976918e+04, 4.999825e-01, -5.417284e-02
6.585677e+04, 4.913380e-01, -4.804283e-02
8.743691e+04, 4.838842e-01, -4.614069e-02
1.157480e+05, 4.751401e-01, -4.184154e-02
1.534472e+05, 4.672979e-01, -3.918634e-02
2.034181e+05, 4.611989e-01, -3.583381e-02
2.696861e+05, 4.558370e-01, -3.216873e-02
3.575525e+05, 4.497233e-01, -3.005769e-02
4.739878e+05, 4.435077e-01, -2.690372e-02
6.285148e+05, 4.363844e-01, -2.248796e-02
