EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0432724
omega, real, im
6.293263e-01, 9.946964e-01, -1.214074e-01
8.324402e-01, 9.795882e-01, -1.033429e-01
1.106767e+00, 9.642857e-01, -8.896109e-02
1.465296e+00, 9.539096e-01, -7.751907e-02
1.947914e+00, 9.450071e-01, -7.033020e-02
2.563042e+00, 9.369438e-01, -6.423668e-02
3.424066e+00, 9.309882e-01, -6.090282e-02
4.530037e+00, 9.238843e-01, -5.940886e-02
5.992113e+00, 9.180029e-01, -6.066103e-02
7.927565e+00, 9.111908e-01, -6.337164e-02
1.057009e+01, 9.036881e-01, -6.805492e-02
1.391364e+01, 8.949904e-01, -7.580201e-02
1.845393e+01, 8.831800e-01, -8.651339e-02
2.454369e+01, 8.689042e-01, -9.922045e-02
3.255131e+01, 8.513376e-01, -1.127678e-01
4.321071e+01, 8.267186e-01, -1.260329e-01
5.721156e+01, 7.939145e-01, -1.358772e-01
7.575201e+01, 7.652647e-01, -1.442661e-01
1.005888e+02, 7.325831e-01, -1.477413e-01
1.333896e+02, 7.022817e-01, -1.448921e-01
1.765735e+02, 6.747810e-01, -1.421976e-01
2.340678e+02, 6.493943e-01, -1.377289e-01
3.106798e+02, 6.241221e-01, -1.317485e-01
4.111698e+02, 6.013664e-01, -1.293413e-01
5.461295e+02, 5.776103e-01, -1.259411e-01
7.237254e+02, 5.556558e-01, -1.224758e-01
9.582557e+02, 5.337644e-01, -1.214119e-01
1.271695e+03, 5.112984e-01, -1.197837e-01
1.686208e+03, 4.895950e-01, -1.161370e-01
2.234103e+03, 4.711571e-01, -1.111907e-01
2.965431e+03, 4.489372e-01, -1.078007e-01
3.923223e+03, 4.276169e-01, -1.063598e-01
5.210048e+03, 4.110531e-01, -9.782877e-02
6.904879e+03, 3.929683e-01, -9.309646e-02
9.156696e+03, 3.758976e-01, -8.884232e-02
1.214596e+04, 3.607491e-01, -8.517005e-02
1.613231e+04, 3.457552e-01, -7.734012e-02
2.131095e+04, 3.327157e-01, -7.357747e-02
2.827860e+04, 3.200609e-01, -6.901194e-02
3.747491e+04, 3.074746e-01, -6.249156e-02
4.976918e+04, 2.976663e-01, -5.650888e-02
6.585677e+04, 2.868400e-01, -5.265775e-02
8.743691e+04, 2.776459e-01, -5.031114e-02
1.157480e+05, 2.698832e-01, -4.492885e-02
1.534472e+05, 2.624311e-01, -4.044786e-02
2.034181e+05, 2.552447e-01, -3.499753e-02
2.696861e+05, 2.487359e-01, -3.077469e-02
3.575525e+05, 2.427167e-01, -2.698586e-02
4.739878e+05, 2.392627e-01, -2.202284e-02
6.285148e+05, 2.319595e-01, -1.810876e-02
