EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0383869
omega, real, im
6.293263e-01, 2.135417e+00, -4.176422e-01
8.324402e-01, 2.129792e+00, -4.097059e-01
1.106767e+00, 2.099699e+00, -4.147609e-01
1.465296e+00, 2.056774e+00, -4.195241e-01
1.947914e+00, 1.996669e+00, -4.363904e-01
2.563042e+00, 1.925489e+00, -4.516779e-01
3.424066e+00, 1.847090e+00, -4.781895e-01
4.530037e+00, 1.753879e+00, -5.066619e-01
5.992113e+00, 1.651352e+00, -5.338714e-01
7.927565e+00, 1.528055e+00, -5.482786e-01
1.057009e+01, 1.401875e+00, -5.444965e-01
1.391364e+01, 1.272587e+00, -5.223716e-01
1.845393e+01, 1.163430e+00, -4.725649e-01
2.454369e+01, 1.063528e+00, -4.155524e-01
3.255131e+01, 1.005165e+00, -3.479462e-01
4.321071e+01, 9.475053e-01, -2.927732e-01
5.721156e+01, 9.153070e-01, -2.523228e-01
7.575201e+01, 8.884833e-01, -2.173943e-01
1.005888e+02, 8.657278e-01, -1.921552e-01
1.333896e+02, 8.448262e-01, -1.759126e-01
1.765735e+02, 8.239385e-01, -1.638709e-01
2.340678e+02, 8.010803e-01, -1.576879e-01
3.106798e+02, 7.746409e-01, -1.529081e-01
4.111698e+02, 7.516721e-01, -1.477428e-01
5.461295e+02, 7.232502e-01, -1.439389e-01
7.237254e+02, 6.965609e-01, -1.382800e-01
9.582557e+02, 6.739233e-01, -1.338122e-01
1.271695e+03, 6.499023e-01, -1.264523e-01
1.686208e+03, 6.263506e-01, -1.211467e-01
2.234103e+03, 6.059778e-01, -1.141614e-01
2.965431e+03, 5.859991e-01, -1.072025e-01
3.923223e+03, 5.672292e-01, -1.011787e-01
5.210048e+03, 5.493796e-01, -9.577733e-02
6.904879e+03, 5.345197e-01, -8.964432e-02
9.156696e+03, 5.193971e-01, -8.422997e-02
1.214596e+04, 5.028976e-01, -7.923687e-02
1.613231e+04, 4.930949e-01, -7.428216e-02
2.131095e+04, 4.787217e-01, -7.065571e-02
2.827860e+04, 4.675590e-01, -6.576316e-02
3.747491e+04, 4.555433e-01, -6.393342e-02
4.976918e+04, 4.456671e-01, -5.903854e-02
6.585677e+04, 4.355659e-01, -5.563178e-02
8.743691e+04, 4.277907e-01, -5.171345e-02
1.157480e+05, 4.182078e-01, -4.870639e-02
1.534472e+05, 4.076851e-01, -4.566961e-02
2.034181e+05, 4.005691e-01, -4.186932e-02
2.696861e+05, 3.930500e-01, -3.868320e-02
3.575525e+05, 3.846127e-01, -3.485291e-02
4.739878e+05, 3.778176e-01, -3.138659e-02
6.285148e+05, 3.711057e-01, -2.607544e-02
