EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0394423
omega, real, im
6.293263e-01, 1.460462e+00, -4.592564e-01
8.324402e-01, 1.392249e+00, -3.651332e-01
1.106767e+00, 1.380462e+00, -2.845998e-01
1.465296e+00, 1.375166e+00, -2.620743e-01
1.947914e+00, 1.338395e+00, -2.647530e-01
2.563042e+00, 1.290502e+00, -2.597253e-01
3.424066e+00, 1.249138e+00, -2.481441e-01
4.530037e+00, 1.220371e+00, -2.446914e-01
5.992113e+00, 1.183908e+00, -2.591879e-01
7.927565e+00, 1.135421e+00, -2.711838e-01
1.057009e+01, 1.080347e+00, -2.803192e-01
1.391364e+01, 1.025235e+00, -2.819169e-01
1.845393e+01, 9.672745e-01, -2.851743e-01
2.454369e+01, 9.010990e-01, -2.757927e-01
3.255131e+01, 8.414512e-01, -2.585725e-01
4.321071e+01, 7.915449e-01, -2.334559e-01
5.721156e+01, 7.474579e-01, -2.098764e-01
7.575201e+01, 7.167529e-01, -1.857921e-01
1.005888e+02, 6.906799e-01, -1.620819e-01
1.333896e+02, 6.677117e-01, -1.423183e-01
1.765735e+02, 6.493820e-01, -1.298307e-01
2.340678e+02, 6.328381e-01, -1.197248e-01
3.106798e+02, 6.181212e-01, -1.143338e-01
4.111698e+02, 5.992409e-01, -1.073816e-01
5.461295e+02, 5.806537e-01, -1.020422e-01
7.237254e+02, 5.644406e-01, -9.598500e-02
9.582557e+02, 5.490417e-01, -9.367529e-02
1.271695e+03, 5.352400e-01, -8.803438e-02
1.686208e+03, 5.212278e-01, -8.293767e-02
2.234103e+03, 5.054392e-01, -8.062027e-02
2.965431e+03, 4.936664e-01, -7.692637e-02
3.923223e+03, 4.787829e-01, -7.441951e-02
5.210048e+03, 4.640476e-01, -7.021907e-02
6.904879e+03, 4.546548e-01, -6.750553e-02
9.156696e+03, 4.436240e-01, -6.295444e-02
1.214596e+04, 4.332061e-01, -6.141910e-02
1.613231e+04, 4.232000e-01, -5.570363e-02
2.131095e+04, 4.132646e-01, -5.345457e-02
2.827860e+04, 4.042401e-01, -4.880252e-02
3.747491e+04, 3.952225e-01, -4.658106e-02
4.976918e+04, 3.875818e-01, -4.343355e-02
6.585677e+04, 3.794409e-01, -4.165115e-02
8.743691e+04, 3.700052e-01, -3.818690e-02
1.157480e+05, 3.653165e-01, -3.562969e-02
1.534472e+05, 3.583643e-01, -3.150064e-02
2.034181e+05, 3.514950e-01, -3.125412e-02
2.696861e+05, 3.455982e-01, -2.955603e-02
3.575525e+05, 3.408675e-01, -2.845647e-02
4.739878e+05, 3.335310e-01, -2.258418e-02
6.285148e+05, 3.268918e-01, -2.088993e-02
