EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0387702
omega, real, im
6.293263e-01, 1.480946e+00, -2.043703e-01
8.324402e-01, 1.461574e+00, -1.828473e-01
1.106767e+00, 1.441498e+00, -1.713926e-01
1.465296e+00, 1.423455e+00, -1.629713e-01
1.947914e+00, 1.404594e+00, -1.617381e-01
2.563042e+00, 1.384650e+00, -1.639391e-01
3.424066e+00, 1.364371e+00, -1.734752e-01
4.530037e+00, 1.339789e+00, -1.881039e-01
5.992113e+00, 1.311958e+00, -2.081332e-01
7.927565e+00, 1.274895e+00, -2.320911e-01
1.057009e+01, 1.228042e+00, -2.586416e-01
1.391364e+01, 1.170510e+00, -2.815684e-01
1.845393e+01, 1.102924e+00, -2.952684e-01
2.454369e+01, 1.027508e+00, -2.955204e-01
3.255131e+01, 9.593651e-01, -2.805997e-01
4.321071e+01, 8.966190e-01, -2.530703e-01
5.721156e+01, 8.523487e-01, -2.160888e-01
7.575201e+01, 8.178666e-01, -1.994768e-01
1.005888e+02, 7.894405e-01, -1.761651e-01
1.333896e+02, 7.682857e-01, -1.593994e-01
1.765735e+02, 7.462513e-01, -1.463567e-01
2.340678e+02, 7.252255e-01, -1.377707e-01
3.106798e+02, 7.036092e-01, -1.307423e-01
4.111698e+02, 6.830032e-01, -1.248576e-01
5.461295e+02, 6.614530e-01, -1.208374e-01
7.237254e+02, 6.425629e-01, -1.164450e-01
9.582557e+02, 6.209436e-01, -1.113510e-01
1.271695e+03, 6.033298e-01, -1.086690e-01
1.686208e+03, 5.834348e-01, -1.038045e-01
2.234103e+03, 5.649148e-01, -9.824640e-02
2.965431e+03, 5.479891e-01, -9.489065e-02
3.923223e+03, 5.311130e-01, -8.917822e-02
5.210048e+03, 5.139384e-01, -8.427972e-02
6.904879e+03, 5.002622e-01, -8.117590e-02
9.156696e+03, 4.875773e-01, -7.510962e-02
1.214596e+04, 4.728672e-01, -7.255477e-02
1.613231e+04, 4.615232e-01, -6.830036e-02
2.131095e+04, 4.498613e-01, -6.361361e-02
2.827860e+04, 4.399844e-01, -6.019227e-02
3.747491e+04, 4.285828e-01, -5.708992e-02
4.976918e+04, 4.203097e-01, -5.311235e-02
6.585677e+04, 4.098539e-01, -4.924035e-02
8.743691e+04, 4.022769e-01, -4.642786e-02
1.157480e+05, 3.940800e-01, -4.369077e-02
1.534472e+05, 3.862525e-01, -3.932949e-02
2.034181e+05, 3.790621e-01, -3.757429e-02
2.696861e+05, 3.721717e-01, -3.402934e-02
3.575525e+05, 3.661890e-01, -3.289468e-02
4.739878e+05, 3.594679e-01, -2.938443e-02
6.285148e+05, 3.534611e-01, -2.615646e-02
