EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0415484
omega, real, im
6.293263e-01, 8.901657e-01, -1.067675e-01
8.324402e-01, 8.782201e-01, -9.001423e-02
1.106767e+00, 8.684348e-01, -7.588107e-02
1.465296e+00, 8.616161e-01, -6.589318e-02
1.947914e+00, 8.533080e-01, -5.819407e-02
2.563042e+00, 8.469464e-01, -5.122736e-02
3.424066e+00, 8.402877e-01, -4.658396e-02
4.530037e+00, 8.351892e-01, -4.275221e-02
5.992113e+00, 8.301044e-01, -4.087466e-02
7.927565e+00, 8.257952e-01, -3.920835e-02
1.057009e+01, 8.210213e-01, -4.019337e-02
1.391364e+01, 8.162501e-01, -4.104541e-02
1.845393e+01, 8.115221e-01, -4.453212e-02
2.454369e+01, 8.067547e-01, -4.858596e-02
3.255131e+01, 7.993916e-01, -5.721023e-02
4.321071e+01, 7.905937e-01, -6.242413e-02
5.721156e+01, 7.832042e-01, -8.722226e-02
7.575201e+01, 7.643900e-01, -8.458386e-02
1.005888e+02, 7.459496e-01, -9.142541e-02
1.333896e+02, 7.222841e-01, -9.922949e-02
1.765735e+02, 6.996401e-01, -1.016752e-01
2.340678e+02, 6.774744e-01, -1.023033e-01
3.106798e+02, 6.559060e-01, -9.688690e-02
4.111698e+02, 6.369288e-01, -9.400921e-02
5.461295e+02, 6.194154e-01, -8.746002e-02
7.237254e+02, 6.053237e-01, -8.466779e-02
9.582557e+02, 5.919105e-01, -7.650881e-02
1.271695e+03, 5.782984e-01, -7.527585e-02
1.686208e+03, 5.660262e-01, -7.328312e-02
2.234103e+03, 5.524624e-01, -6.933782e-02
2.965431e+03, 5.418974e-01, -6.569235e-02
3.923223e+03, 5.292630e-01, -6.508842e-02
5.210048e+03, 5.180647e-01, -6.309392e-02
6.904879e+03, 5.072507e-01, -5.871228e-02
9.156696e+03, 4.988404e-01, -5.670308e-02
1.214596e+04, 4.874342e-01, -5.509194e-02
1.613231e+04, 4.781380e-01, -5.318211e-02
2.131095e+04, 4.688058e-01, -5.007602e-02
2.827860e+04, 4.572772e-01, -4.789630e-02
3.747491e+04, 4.495236e-01, -4.650630e-02
4.976918e+04, 4.440876e-01, -4.065602e-02
6.585677e+04, 4.350282e-01, -3.916990e-02
8.743691e+04, 4.296229e-01, -3.458308e-02
1.157480e+05, 4.221483e-01, -3.245378e-02
1.534472e+05, 4.168331e-01, -3.188573e-02
2.034181e+05, 4.122665e-01, -2.925365e-02
2.696861e+05, 4.056536e-01, -2.748713e-02
3.575525e+05, 4.001324e-01, -2.380403e-02
4.739878e+05, 3.963762e-01, -2.084600e-02
6.285148e+05, 3.918939e-01, -1.709164e-02
