EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0437331
omega, real, im
6.293263e-01, 1.103611e+00, -1.098831e-01
8.324402e-01, 1.092196e+00, -9.147781e-02
1.106767e+00, 1.083172e+00, -7.677165e-02
1.465296e+00, 1.074449e+00, -6.758401e-02
1.947914e+00, 1.066994e+00, -5.834213e-02
2.563042e+00, 1.061882e+00, -5.224825e-02
3.424066e+00, 1.055785e+00, -4.704188e-02
4.530037e+00, 1.052189e+00, -4.383696e-02
5.992113e+00, 1.046868e+00, -4.235351e-02
7.927565e+00, 1.042810e+00, -4.216421e-02
1.057009e+01, 1.037775e+00, -4.319251e-02
1.391364e+01, 1.032719e+00, -4.578419e-02
1.845393e+01, 1.027590e+00, -5.022447e-02
2.454369e+01, 1.021089e+00, -5.737175e-02
3.255131e+01, 1.010949e+00, -6.565402e-02
4.321071e+01, 1.003282e+00, -7.488523e-02
5.721156e+01, 9.755588e-01, -8.552756e-02
7.575201e+01, 9.705797e-01, -9.809493e-02
1.005888e+02, 9.490001e-01, -1.069928e-01
1.333896e+02, 9.235563e-01, -1.170842e-01
1.765735e+02, 8.979858e-01, -1.181688e-01
2.340678e+02, 8.723711e-01, -1.211127e-01
3.106798e+02, 8.472393e-01, -1.177155e-01
4.111698e+02, 8.249476e-01, -1.122108e-01
5.461295e+02, 8.039724e-01, -1.099847e-01
7.237254e+02, 7.853666e-01, -1.082068e-01
9.582557e+02, 7.666270e-01, -1.040669e-01
1.271695e+03, 7.475747e-01, -9.981837e-02
1.686208e+03, 7.305983e-01, -1.010649e-01
2.234103e+03, 7.110098e-01, -9.564125e-02
2.965431e+03, 6.942174e-01, -9.231854e-02
3.923223e+03, 6.795034e-01, -8.957291e-02
5.210048e+03, 6.604568e-01, -8.723233e-02
6.904879e+03, 6.468547e-01, -8.145472e-02
9.156696e+03, 6.345246e-01, -7.607605e-02
1.214596e+04, 6.192630e-01, -7.354404e-02
1.613231e+04, 6.056765e-01, -7.003365e-02
2.131095e+04, 5.931547e-01, -6.464903e-02
2.827860e+04, 5.829838e-01, -6.013867e-02
3.747491e+04, 5.717866e-01, -5.480568e-02
4.976918e+04, 5.617514e-01, -5.298549e-02
6.585677e+04, 5.535432e-01, -4.998156e-02
8.743691e+04, 5.471356e-01, -4.234519e-02
1.157480e+05, 5.402605e-01, -3.730489e-02
1.534472e+05, 5.328376e-01, -3.576211e-02
2.034181e+05, 5.281445e-01, -3.253694e-02
2.696861e+05, 5.203070e-01, -2.784206e-02
3.575525e+05, 5.161802e-01, -2.692608e-02
4.739878e+05, 5.074555e-01, -2.362821e-02
6.285148e+05, 5.049390e-01, -1.787914e-02
