EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.04384
omega, real, im
6.293263e-01, 1.446376e+00, -1.141284e-01
8.324402e-01, 1.432767e+00, -9.487368e-02
1.106767e+00, 1.422757e+00, -7.995055e-02
1.465296e+00, 1.414147e+00, -7.077903e-02
1.947914e+00, 1.406173e+00, -6.141780e-02
2.563042e+00, 1.400239e+00, -5.576492e-02
3.424066e+00, 1.394028e+00, -5.087199e-02
4.530037e+00, 1.389736e+00, -4.784964e-02
5.992113e+00, 1.383737e+00, -4.631565e-02
7.927565e+00, 1.378932e+00, -4.645320e-02
1.057009e+01, 1.373428e+00, -4.824326e-02
1.391364e+01, 1.368887e+00, -5.089932e-02
1.845393e+01, 1.361681e+00, -5.708051e-02
2.454369e+01, 1.356135e+00, -6.323443e-02
3.255131e+01, 1.346108e+00, -7.321943e-02
4.321071e+01, 1.331190e+00, -8.534934e-02
5.721156e+01, 1.318489e+00, -9.612083e-02
7.575201e+01, 1.297703e+00, -1.120031e-01
1.005888e+02, 1.270235e+00, -1.223990e-01
1.333896e+02, 1.244121e+00, -1.299269e-01
1.765735e+02, 1.215401e+00, -1.326942e-01
2.340678e+02, 1.188588e+00, -1.324089e-01
3.106798e+02, 1.160725e+00, -1.306969e-01
4.111698e+02, 1.137046e+00, -1.274759e-01
5.461295e+02, 1.113757e+00, -1.266068e-01
7.237254e+02, 1.091271e+00, -1.218717e-01
9.582557e+02, 1.069173e+00, -1.192570e-01
1.271695e+03, 1.046303e+00, -1.160749e-01
1.686208e+03, 1.025410e+00, -1.143204e-01
2.234103e+03, 1.006688e+00, -1.102543e-01
2.965431e+03, 9.860607e-01, -1.036130e-01
3.923223e+03, 9.667112e-01, -1.007374e-01
5.210048e+03, 9.486019e-01, -9.619830e-02
6.904879e+03, 9.317504e-01, -9.195881e-02
9.156696e+03, 9.144719e-01, -8.512396e-02
1.214596e+04, 8.997182e-01, -8.101781e-02
1.613231e+04, 8.853148e-01, -7.514152e-02
2.131095e+04, 8.735408e-01, -7.086751e-02
2.827860e+04, 8.609942e-01, -6.344193e-02
3.747491e+04, 8.488690e-01, -6.058335e-02
4.976918e+04, 8.391952e-01, -5.725628e-02
6.585677e+04, 8.290951e-01, -5.029857e-02
8.743691e+04, 8.226821e-01, -4.696305e-02
1.157480e+05, 8.136822e-01, -4.172187e-02
1.534472e+05, 8.074440e-01, -3.967385e-02
2.034181e+05, 8.021547e-01, -3.390469e-02
2.696861e+05, 7.952793e-01, -3.073874e-02
3.575525e+05, 7.900472e-01, -2.814916e-02
4.739878e+05, 7.860150e-01, -2.272612e-02
6.285148e+05, 7.804076e-01, -1.967801e-02
