EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0390401
omega, real, im
6.293263e-01, 1.231955e+00, -2.143400e-01
8.324402e-01, 1.214431e+00, -1.831506e-01
1.106767e+00, 1.198555e+00, -1.592112e-01
1.465296e+00, 1.182135e+00, -1.444496e-01
1.947914e+00, 1.166178e+00, -1.324759e-01
2.563042e+00, 1.153915e+00, -1.272899e-01
3.424066e+00, 1.139171e+00, -1.260350e-01
4.530037e+00, 1.125901e+00, -1.287910e-01
5.992113e+00, 1.108864e+00, -1.369992e-01
7.927565e+00, 1.090426e+00, -1.486537e-01
1.057009e+01, 1.065808e+00, -1.652922e-01
1.391364e+01, 1.036455e+00, -1.821891e-01
1.845393e+01, 9.967928e-01, -2.000694e-01
2.454369e+01, 9.502882e-01, -2.118625e-01
3.255131e+01, 8.981299e-01, -2.176135e-01
4.321071e+01, 8.476303e-01, -2.111017e-01
5.721156e+01, 8.030700e-01, -2.080684e-01
7.575201e+01, 7.626370e-01, -1.779384e-01
1.005888e+02, 7.322429e-01, -1.608264e-01
1.333896e+02, 7.096336e-01, -1.431141e-01
1.765735e+02, 6.882306e-01, -1.321879e-01
2.340678e+02, 6.700603e-01, -1.233768e-01
3.106798e+02, 6.516191e-01, -1.172053e-01
4.111698e+02, 6.323153e-01, -1.095065e-01
5.461295e+02, 6.155137e-01, -1.053575e-01
7.237254e+02, 5.971143e-01, -9.959406e-02
9.582557e+02, 5.803100e-01, -9.663896e-02
1.271695e+03, 5.641362e-01, -9.280619e-02
1.686208e+03, 5.484702e-01, -8.841274e-02
2.234103e+03, 5.316380e-01, -8.370481e-02
2.965431e+03, 5.180324e-01, -7.985493e-02
3.923223e+03, 5.038494e-01, -7.693457e-02
5.210048e+03, 4.895972e-01, -7.298353e-02
6.904879e+03, 4.778538e-01, -6.973933e-02
9.156696e+03, 4.662489e-01, -6.624369e-02
1.214596e+04, 4.553286e-01, -6.247396e-02
1.613231e+04, 4.453848e-01, -5.650505e-02
2.131095e+04, 4.350111e-01, -5.553257e-02
2.827860e+04, 4.252229e-01, -5.091278e-02
3.747491e+04, 4.162305e-01, -4.934083e-02
4.976918e+04, 4.085121e-01, -4.718995e-02
6.585677e+04, 4.003878e-01, -4.370913e-02
8.743691e+04, 3.934476e-01, -4.158130e-02
1.157480e+05, 3.852347e-01, -3.878624e-02
1.534472e+05, 3.790856e-01, -3.652114e-02
2.034181e+05, 3.746332e-01, -3.390106e-02
2.696861e+05, 3.671587e-01, -3.150963e-02
3.575525e+05, 3.606545e-01, -2.888152e-02
4.739878e+05, 3.543289e-01, -2.616013e-02
6.285148e+05, 3.493763e-01, -2.358330e-02
