EISF, 1.1.0
"Unkown"
File origin
CoinCellHell mesurement file
labelsNames
"cap_estimate"
labels
0.0444291
omega, real, im
6.293263e-01, 2.207236e+00, -5.000001e-01
8.324402e-01, 2.172812e+00, -4.202988e-01
1.106767e+00, 2.142795e+00, -3.593853e-01
1.465296e+00, 2.115980e+00, -3.183922e-01
1.947914e+00, 2.084440e+00, -2.874942e-01
2.563042e+00, 2.059305e+00, -2.697026e-01
3.424066e+00, 2.028672e+00, -2.644299e-01
4.530037e+00, 1.997682e+00, -2.665782e-01
5.992113e+00, 1.959161e+00, -2.790962e-01
7.927565e+00, 1.914944e+00, -2.940008e-01
1.057009e+01, 1.858910e+00, -3.164346e-01
1.391364e+01, 1.794785e+00, -3.319043e-01
1.845393e+01, 1.719491e+00, -3.422883e-01
2.454369e+01, 1.639784e+00, -3.356189e-01
3.255131e+01, 1.564738e+00, -3.199078e-01
4.321071e+01, 1.503937e+00, -2.936532e-01
5.721156e+01, 1.448013e+00, -2.648244e-01
7.575201e+01, 1.409455e+00, -2.419164e-01
1.005888e+02, 1.376660e+00, -2.230693e-01
1.333896e+02, 1.345867e+00, -2.108765e-01
1.765735e+02, 1.313759e+00, -2.038774e-01
2.340678e+02, 1.282576e+00, -1.973948e-01
3.106798e+02, 1.246178e+00, -1.920288e-01
4.111698e+02, 1.212476e+00, -1.892528e-01
5.461295e+02, 1.177610e+00, -1.811995e-01
7.237254e+02, 1.143334e+00, -1.728112e-01
9.582557e+02, 1.111963e+00, -1.622100e-01
1.271695e+03, 1.084538e+00, -1.533131e-01
1.686208e+03, 1.058386e+00, -1.430230e-01
2.234103e+03, 1.032360e+00, -1.345805e-01
2.965431e+03, 1.011343e+00, -1.227130e-01
3.923223e+03, 9.903913e-01, -1.133295e-01
5.210048e+03, 9.723632e-01, -1.067196e-01
6.904879e+03, 9.525731e-01, -9.808117e-02
9.156696e+03, 9.382554e-01, -9.169545e-02
1.214596e+04, 9.215686e-01, -8.688038e-02
1.613231e+04, 9.080975e-01, -7.959177e-02
2.131095e+04, 8.956249e-01, -7.174045e-02
2.827860e+04, 8.828306e-01, -6.656479e-02
3.747491e+04, 8.705812e-01, -6.195647e-02
4.976918e+04, 8.614624e-01, -5.458219e-02
6.585677e+04, 8.516600e-01, -5.151097e-02
8.743691e+04, 8.452877e-01, -4.695177e-02
1.157480e+05, 8.377075e-01, -4.507118e-02
1.534472e+05, 8.317274e-01, -3.900072e-02
2.034181e+05, 8.252189e-01, -3.228689e-02
2.696861e+05, 8.178009e-01, -2.982007e-02
3.575525e+05, 8.130113e-01, -2.624385e-02
4.739878e+05, 8.071020e-01, -2.235508e-02
6.285148e+05, 8.027803e-01, -1.806534e-02
